time,Bx,By,Bz,BT
1.432171,8.59,27.10,-23.47,36.86
1.442344,8.71,27.12,-23.40,36.86
1.453269,8.83,27.22,-23.35,36.93
1.467763,8.97,27.22,-23.18,36.86
1.477022,8.97,27.17,-23.28,36.88
1.481985,9.04,27.13,-23.34,36.91
1.495444,8.97,27.17,-23.40,36.96
1.502985,9.02,27.11,-23.41,36.94
1.513369,9.00,27.06,-23.34,36.85
1.522619,8.95,26.97,-23.39,36.81
1.532172,8.80,26.82,-23.38,36.64
1.543192,8.77,26.62,-23.44,36.54
1.551961,8.85,26.55,-23.52,36.55
1.562120,8.83,26.69,-23.36,36.56
1.572650,8.87,26.77,-23.40,36.64
1.582096,8.78,26.96,-23.33,36.72
1.603328,8.76,27.05,-23.48,36.88
1.604858,8.64,26.91,-23.53,36.78
1.613387,8.64,26.68,-23.67,36.70
1.622021,8.50,26.60,-23.95,36.79
1.632220,8.47,26.43,-23.99,36.68
1.642210,8.47,26.40,-23.86,36.58
1.652723,8.41,26.12,-23.80,36.32
1.661915,8.30,25.96,-23.84,36.21
1.673922,8.28,25.62,-23.74,35.90
1.681919,8.39,25.62,-23.58,35.82
1.692062,8.34,25.78,-23.47,35.85
1.702264,8.41,26.01,-23.47,36.03
1.713771,8.32,26.40,-23.23,36.14
1.724046,8.22,26.46,-23.42,36.28
1.733025,8.19,26.84,-23.24,36.44
1.742089,8.22,27.13,-23.09,36.57
1.752880,8.17,27.55,-23.13,36.89
1.762723,8.06,28.04,-22.92,37.10
1.778834,8.05,28.32,-22.91,37.30
1.784778,7.98,28.49,-22.52,37.18
1.796973,8.03,28.44,-22.59,37.20
1.802699,8.11,28.47,-22.53,37.21
1.812600,8.17,28.46,-22.69,37.31
1.823955,8.20,28.60,-22.77,37.46
1.833015,8.21,28.60,-22.74,37.45
1.842255,8.30,28.68,-22.68,37.49
1.853396,8.38,28.69,-22.52,37.43
1.865197,8.50,28.78,-22.58,37.56
1.878752,8.52,29.02,-22.42,37.65
1.883696,8.45,29.18,-22.33,37.70
1.898704,8.41,29.26,-22.18,37.66
1.902647,8.43,29.04,-22.33,37.58
1.912527,8.38,28.98,-22.25,37.48
1.925337,8.34,28.91,-22.37,37.50
1.932587,8.28,28.82,-22.50,37.48
1.942470,8.31,28.71,-22.56,37.44
1.952914,8.28,28.55,-22.75,37.43
1.962735,8.33,28.52,-22.83,37.47
1.977219,8.38,28.58,-22.85,37.54
1.984870,8.33,28.65,-22.62,37.44
1.994082,8.34,28.71,-22.57,37.46
2.002290,8.43,28.56,-22.74,37.47
2.013586,8.45,28.52,-22.77,37.46
2.025415,8.31,28.60,-22.58,37.37
2.032933,8.28,28.49,-22.61,37.30
2.042847,8.21,28.58,-22.57,37.33
2.054397,8.16,28.66,-22.57,37.38
2.062885,8.22,28.66,-22.69,37.47
2.072744,8.28,28.76,-22.66,37.53
2.082715,8.23,28.80,-22.61,37.53
2.104135,8.28,29.07,-22.46,37.66
2.105820,8.39,29.08,-22.58,37.77
2.112299,8.44,29.16,-22.53,37.80
2.122149,8.49,28.82,-22.53,37.55
2.132456,8.50,28.40,-22.64,37.31
2.142200,8.44,28.19,-22.72,37.18
2.152869,8.47,27.95,-22.84,37.07
2.162080,8.50,27.61,-22.92,36.88
2.173009,8.50,27.50,-23.00,36.84
2.182347,8.48,27.34,-23.13,36.80
2.194644,8.42,27.32,-23.08,36.74
2.207252,8.43,27.44,-23.14,36.87
2.212303,8.50,27.63,-23.12,37.02
2.223101,8.45,27.63,-23.14,37.02
2.232818,8.33,27.61,-23.17,36.99
2.242745,8.21,27.78,-23.07,37.03
2.252730,8.20,27.79,-23.09,37.05
2.265023,8.13,27.77,-22.98,36.95
2.273109,8.14,28.02,-22.92,37.11
2.285784,8.04,28.10,-22.98,37.18
2.292529,7.93,28.07,-23.00,37.15
2.305314,8.00,28.11,-23.00,37.19
2.312860,8.05,28.15,-23.03,37.25
2.325866,8.09,28.21,-23.12,37.36
2.333847,8.00,28.30,-23.07,37.38
2.343841,8.10,28.32,-23.18,37.48
2.353172,8.09,28.15,-23.13,37.32
2.364156,8.15,28.04,-23.11,37.23
2.373023,8.14,28.07,-23.06,37.23
2.388477,8.14,28.33,-22.96,37.36
2.396853,8.19,28.39,-22.91,37.39
2.405719,8.19,28.47,-22.90,37.45
2.412787,8.15,28.26,-23.02,37.35
2.422529,8.04,28.10,-23.00,37.19
2.433197,8.05,28.19,-23.17,37.37
2.445232,8.03,28.08,-23.25,37.33
2.452983,8.03,28.30,-23.16,37.44
2.466981,7.94,28.32,-23.01,37.34
2.472761,7.86,28.40,-23.02,37.39
2.485144,7.83,28.50,-23.01,37.46
2.493095,7.94,28.44,-22.98,37.42
2.514457,7.89,28.82,-22.88,37.63
2.517658,7.91,28.80,-22.85,37.61
2.524083,7.87,28.93,-22.75,37.63
2.532914,7.87,28.76,-22.81,37.54
2.542130,7.94,28.46,-23.00,37.44
2.553048,7.97,28.43,-22.98,37.41
2.566029,8.02,28.28,-22.97,37.31
2.572543,7.97,28.24,-23.02,37.30
2.585930,8.03,28.15,-23.08,37.27
2.592274,7.95,27.99,-23.13,37.17
2.606730,7.94,27.93,-22.97,37.02
2.630111,8.04,28.01,-23.05,37.15
2.631316,7.95,28.11,-22.98,37.17
2.632828,7.88,28.22,-22.92,37.20
2.642483,7.77,28.00,-23.00,37.06
2.652597,7.78,28.00,-22.89,36.99
2.663263,7.81,28.07,-22.80,37.00
2.672586,7.87,27.85,-22.91,36.91
2.683027,7.84,28.06,-23.02,37.13
2.692973,7.75,28.01,-23.01,37.07
2.704665,7.71,28.01,-23.18,37.17
2.716131,7.72,27.89,-23.18,37.08
2.722580,7.71,27.94,-23.11,37.07
2.734055,7.73,28.05,-23.05,37.12
2.750427,7.62,27.90,-23.06,36.99
2.753311,7.55,27.96,-22.95,36.95
2.762352,7.55,27.85,-23.00,36.90
2.771793,7.53,27.63,-22.88,36.65
2.783624,7.59,27.47,-22.77,36.48
2.792498,7.58,27.24,-23.01,36.46
2.803010,7.59,27.13,-23.24,36.52
2.812236,7.52,26.78,-23.53,36.43
2.821995,7.58,26.33,-23.86,36.33
2.832023,7.60,25.95,-24.17,36.27
2.844742,7.61,25.72,-24.33,36.21
2.852071,7.72,25.56,-24.67,36.35
2.862212,7.67,25.28,-24.92,36.32
2.872443,7.70,25.25,-24.75,36.19
2.884644,7.71,25.21,-24.68,36.11
2.895943,7.70,25.23,-24.73,36.16
2.901831,7.67,25.39,-24.61,36.18
2.913838,7.69,25.58,-24.51,36.25
2.922155,7.71,25.47,-24.49,36.16
2.932145,7.58,25.31,-24.39,35.96
2.941982,7.65,25.17,-24.31,35.82
2.952783,7.66,25.05,-24.44,35.82
2.962159,7.65,25.11,-24.49,35.89
2.972674,7.58,25.40,-24.28,35.94
2.982276,7.56,25.56,-24.27,36.05
2.994028,7.56,25.68,-24.16,36.06
3.004135,7.66,25.69,-24.00,35.98
3.012953,7.80,25.97,-23.99,36.20
3.022580,7.78,26.66,-23.84,36.60
3.033995,7.70,26.91,-23.75,36.71
3.043471,7.75,27.16,-23.58,36.79
3.052815,7.80,27.13,-23.59,36.79
3.062150,7.82,27.19,-23.38,36.70
3.078484,7.73,27.55,-23.19,36.83
3.082444,7.64,27.90,-23.13,37.04
3.096059,7.44,28.16,-23.03,37.13
3.102526,7.36,27.84,-23.16,36.95
3.112972,7.36,27.91,-23.09,36.97
3.124150,7.36,27.93,-23.00,36.92
3.132408,7.41,27.90,-22.96,36.89
3.142552,7.42,27.88,-23.03,36.91
3.152921,7.48,27.82,-23.11,36.93
3.163189,7.44,27.78,-23.20,36.95
3.179034,7.58,27.75,-23.20,36.96
3.184891,7.59,28.02,-23.01,37.04
3.196612,7.61,28.12,-22.91,37.06
3.202411,7.55,28.06,-22.90,37.00
3.212993,7.58,27.93,-22.95,36.93
3.223663,7.58,27.90,-23.07,36.99
3.232701,7.53,27.83,-22.96,36.85
3.242538,7.56,27.80,-22.90,36.81
3.253517,7.50,27.82,-22.79,36.73
3.263030,7.44,27.74,-22.73,36.63
3.277999,7.47,27.84,-22.83,36.77
3.283100,7.47,28.00,-22.81,36.88
3.298497,7.39,28.19,-22.63,36.90
3.303200,7.45,28.33,-22.55,36.96
3.312342,7.49,28.30,-22.50,36.92
3.323593,7.48,28.22,-22.66,36.95
3.332984,7.50,28.26,-22.77,37.05
3.342802,7.64,28.18,-22.85,37.08
3.354788,7.62,28.11,-22.81,37.00
3.363004,7.61,28.00,-22.88,36.95
3.373219,7.61,28.12,-23.03,37.14
3.382758,7.47,28.17,-23.13,37.21
3.392939,7.45,28.28,-23.19,37.33
3.404843,7.32,28.50,-23.14,37.44
3.412677,7.27,28.36,-23.05,37.26
3.422897,7.16,28.30,-23.08,37.22
3.432957,7.20,28.38,-23.20,37.36
3.443427,7.17,28.36,-23.19,37.34
3.453351,7.08,28.35,-23.06,37.22
3.462706,7.16,28.32,-22.95,37.14
3.472448,7.14,28.43,-22.97,37.24
3.482795,7.17,28.44,-22.81,37.16
3.494105,7.20,28.60,-22.69,37.21
3.506626,7.21,28.83,-22.69,37.39
