"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.525277388E2,2.354789969E1,8.728941641E1,8.449731212E1,3.055590820E1,1.120000005E0,2.150000000E1,2.241414357E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.535243931E2,2.354790830E1,8.728941979E1,8.420903609E1,3.026763916E1,1.000000000E0,2.339999962E1,2.252433473E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.545277234E2,2.354791738E1,8.728942412E1,8.418229570E1,3.024090576E1,1.139999986E0,2.800000000E1,2.263754794E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.555292068E2,2.354792692E1,8.728942800E1,8.351718793E1,2.957580566E1,1.100000024E0,2.589999962E1,2.275191735E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.565282468E2,2.354793601E1,8.728943325E1,8.348129272E1,2.953991699E1,1.090000033E0,2.650000000E1,2.286890909E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.575277946E2,2.354794555E1,8.728943809E1,8.341677136E1,2.947540283E1,1.129999995E0,2.450000000E1,2.297402716E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.585242682E2,2.354795463E1,8.728944096E1,8.414241062E1,3.020104980E1,1.100000024E0,2.329999924E1,2.307211314E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.595253046E2,2.354796269E1,8.728944487E1,8.412061490E1,3.017926025E1,1.070000052E0,2.700000000E1,2.318147034E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.605283985E2,2.354797149E1,8.728944966E1,8.378827199E1,2.984692383E1,1.090000033E0,3.000000000E1,2.328195419E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.615253958E2,2.354797902E1,8.728945511E1,8.394305227E1,3.000170898E1,1.080000043E0,2.900000000E1,2.337575063E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.625286526E2,2.354798585E1,8.728946051E1,8.375701292E1,2.981567383E1,1.120000005E0,2.920000076E1,2.346469148E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.635275712E2,2.354799230E1,8.728946567E1,8.347636933E1,2.953503418E1,1.059999943E0,3.010000038E1,2.354760526E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.645269426E2,2.354799786E1,8.728947109E1,8.330461349E1,2.936328125E1,1.100000024E0,2.870000076E1,2.363085028E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.655276335E2,2.354800259E1,8.728947742E1,8.338291996E1,2.944158936E1,1.100000024E0,3.120000076E1,2.374743271E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.665257126E2,2.354801214E1,8.728948214E1,8.313755137E1,2.919622803E1,1.100000024E0,2.770000076E1,2.387008457E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.675253208E2,2.354802253E1,8.728948618E1,8.279586811E1,2.885455322E1,1.049999952E0,2.539999962E1,2.399454685E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.685293476E2,2.354803250E1,8.728949173E1,8.341152245E1,2.947021484E1,1.090000033E0,2.950000000E1,2.413779233E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.695283377E2,2.354804353E1,8.728949899E1,8.420759649E1,3.026629639E1,1.080000043E0,2.750000000E1,2.427797347E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.705275586E2,2.354805461E1,8.728950555E1,8.597156564E1,3.203027344E1,1.080000043E0,2.489999962E1,2.442908193E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.715244536E2,2.354806681E1,8.728951208E1,8.547582907E1,3.153454590E1,1.259999990E0,2.560000038E1,2.456640042E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.725283157E2,2.354807783E1,8.728951816E1,8.630864570E1,3.236737061E1,1.059999943E0,3.209999847E1,2.469233829E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.735270786E2,2.354808692E1,8.728952553E1,8.690177985E1,3.296051025E1,1.090000033E0,3.820000076E1,2.481988577E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.745262444E2,2.354809715E1,8.728953119E1,8.776139150E1,3.382012939E1,1.100000024E0,2.860000038E1,2.497288042E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.755271476E2,2.354810997E1,8.728953664E1,8.782851997E1,3.388726807E1,1.110000014E0,2.239999962E1,2.512204608E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.765238937E2,2.354812077E1,8.728954532E1,8.810060813E1,3.415936279E1,1.210000038E0,3.990000153E1,2.525085505E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.775279086E2,2.354812918E1,8.728955401E1,8.871608248E1,3.477484131E1,1.049999952E0,4.320000076E1,2.537524320E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.785279231E2,2.354813572E1,8.728956391E1,8.910810960E1,3.516687012E1,1.080000043E0,4.470000076E1,2.550051924E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.795258882E2,2.354813764E1,8.728957602E1,8.972224939E1,3.578100586E1,1.250000000E0,8.200000000E1,2.560744930E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.805242428E2,2.354813806E1,8.728958650E1,8.871602855E1,3.477478027E1,1.039999962E0,8.700000000E1,2.570596782E-1,3.790092468E0,2.648031712E0,2.600000000E1
1.815267964E2,2.354813983E1,8.728959597E1,8.835934199E1,3.441809082E1,1.070000052E0,8.290000153E1,2.580415498E-1,3.790092468E0,2.504981518E0,2.600000000E1
1.825259607E2,2.354814091E1,8.728960553E1,8.837838859E1,3.443713379E1,1.110000014E0,9.130000305E1,2.590337377E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.835274785E2,2.354814067E1,8.728961526E1,8.822360848E1,3.428234863E1,1.149999976E0,9.140000153E1,2.600359270E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.845242859E2,2.354813881E1,8.728962488E1,8.877811949E1,3.483685303E1,1.139999986E0,1.011999969E2,2.612001349E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.855287899E2,2.354813510E1,8.728963556E1,8.906731307E1,3.512603760E1,1.090000033E0,1.094000015E2,2.622815375E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.865287782E2,2.354813131E1,8.728964533E1,8.900128166E1,3.505999756E1,1.039999962E0,1.154000015E2,2.634045728E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.875297911E2,2.354812666E1,8.728965511E1,8.899891079E1,3.505761719E1,9.700000286E-1,1.170000000E2,2.647170734E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.885237790E2,2.354812048E1,8.728966608E1,8.922414214E1,3.528283691E1,1.039999962E0,1.236999969E2,2.660685949E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.895261100E2,2.354811356E1,8.728967698E1,8.955191327E1,3.561059570E1,1.059999943E0,1.275999985E2,2.674291375E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.905267254E2,2.354810826E1,8.728968901E1,8.963419993E1,3.569287109E1,1.029999971E0,1.140000000E2,2.686587759E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.915267771E2,2.354810240E1,8.728969924E1,8.990496282E1,3.596362305E1,1.039999962E0,1.254000015E2,2.699168993E-1,3.790092468E0,2.529224634E0,2.600000000E1
1.925258503E2,2.354809787E1,8.728971055E1,9.018634503E1,3.624499512E1,1.149999976E0,1.198000031E2,2.710332934E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.935239143E2,2.354809388E1,8.728972060E1,9.019135888E1,3.625000000E1,1.049999952E0,1.196999969E2,2.721147945E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.945284431E2,2.354808910E1,8.728972984E1,8.945772567E1,3.551635742E1,1.059999943E0,1.195000000E2,2.732051493E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.955275416E2,2.354808416E1,8.728973908E1,8.949289145E1,3.555151367E1,1.039999962E0,1.189000015E2,2.742387407E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.965235516E2,2.354807974E1,8.728974800E1,8.937449209E1,3.543310547E1,1.110000014E0,1.185000000E2,2.754726971E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.975241949E2,2.354807417E1,8.728975847E1,8.953288909E1,3.559149170E1,1.090000033E0,1.218000031E2,2.766616937E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.985255895E2,2.354806856E1,8.728976840E1,8.925421311E1,3.531280518E1,1.090000033E0,1.158000031E2,2.778056479E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.995328659E2,2.354806431E1,8.728977862E1,8.915101198E1,3.520959473E1,1.080000043E0,1.190000000E2,2.787804493E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.005274599E2,2.354805965E1,8.728978672E1,8.923213638E1,3.529071045E1,1.059999943E0,1.278000031E2,2.799162461E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.015277271E2,2.354805491E1,8.728979659E1,8.892233157E1,3.498089600E1,1.080000043E0,1.209000015E2,2.811579742E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.025243701E2,2.354805128E1,8.728980811E1,8.900687460E1,3.506542969E1,1.070000052E0,1.186999969E2,2.823226613E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.035293040E2,2.354804751E1,8.728981877E1,8.914183238E1,3.520037842E1,9.300000072E-1,1.160000000E2,2.835797446E-1,3.790092468E0,2.500000000E0,2.500000000E1
2.045260742E2,2.354804101E1,8.728982886E1,8.860314761E1,3.466168213E1,1.049999952E0,1.196999969E2,2.847758692E-1,3.790092468E0,2.502413988E0,2.600000000E1
2.055279625E2,2.354803489E1,8.728983851E1,8.888715511E1,3.494567871E1,1.049999952E0,1.245999985E2,2.859046450E-1,3.790092468E0,2.675405502E0,2.600000000E1
2.065246473E2,2.354803001E1,8.728984822E1,8.917348072E1,3.523199463E1,9.700000286E-1,1.149000015E2,2.871910043E-1,3.790092468E0,2.656658649E0,2.600000000E1
2.075299724E2,2.354802279E1,8.728985808E1,8.946658367E1,3.552508545E1,1.100000024E0,1.244000015E2,2.885989651E-1,3.790092468E0,2.620488405E0,2.600000000E1
2.085266561E2,2.354801586E1,8.728986964E1,8.905070279E1,3.510919189E1,1.059999943E0,1.206999969E2,2.899737890E-1,3.790092468E0,2.852763176E0,2.700000000E1
2.095264392E2,2.354800885E1,8.728988075E1,8.863616454E1,3.469464111E1,1.049999952E0,1.185000000E2,2.914861929E-1,3.790092468E0,3.149562597E0,2.700000000E1
2.105260610E2,2.354800303E1,8.728989416E1,8.865802760E1,3.471649170E1,1.070000052E0,1.153000031E2,2.929996433E-1,3.790092468E0,3.280156136E0,2.700000000E1
2.115243517E2,2.354799601E1,8.728990688E1,8.899831194E1,3.505676270E1,1.100000024E0,1.250000000E2,2.943673856E-1,3.790092468E0,3.145166159E0,2.700000000E1
2.125235541E2,2.354799093E1,8.728991910E1,8.881869661E1,3.487713623E1,1.159999967E0,1.206999969E2,2.956059268E-1,3.790092468E0,3.115083456E0,2.700000000E1
2.135265149E2,2.354798659E1,8.728993029E1,8.968949507E1,3.574792480E1,1.019999981E0,1.121999969E2,2.969276209E-1,3.790092468E0,2.895843744E0,2.700000000E1
2.145281224E2,2.354798141E1,8.728994196E1,9.004912519E1,3.610754395E1,1.110000014E0,1.228000031E2,2.983592973E-1,3.790092468E0,2.807231188E0,2.700000000E1
2.155304531E2,2.354797601E1,8.728995471E1,9.064563349E1,3.670404053E1,1.129999995E0,1.161999969E2,2.997480954E-1,3.790092468E0,2.865707874E0,2.700000000E1
2.165263304E2,2.354796842E1,8.728996553E1,9.114491404E1,3.720330811E1,1.129999995E0,1.215000000E2,3.010518949E-1,3.790092468E0,2.710661650E0,2.700000000E1
2.175255009E2,2.354796350E1,8.728997714E1,9.135421427E1,3.741259766E1,1.129999995E0,1.161999969E2,3.023707437E-1,3.790092468E0,2.781904936E0,2.600000000E1
2.185256306E2,2.354795796E1,8.728998858E1,9.140299258E1,3.746136475E1,1.110000014E0,1.163000031E2,3.035355665E-1,3.790092468E0,2.819684505E0,2.700000000E1
2.195273454E2,2.354795407E1,8.728999919E1,9.140880007E1,3.746716309E1,1.100000024E0,1.141999969E2,3.047780694E-1,3.790092468E0,2.765151739E0,2.700000000E1
2.205263480E2,2.354794882E1,8.729000995E1,9.126427942E1,3.732263184E1,1.190000057E0,1.189000015E2,3.058368706E-1,3.790092468E0,2.743455648E0,2.700000000E1
2.215254952E2,2.354794473E1,8.729001933E1,9.157330916E1,3.763165283E1,1.120000005E0,1.271999969E2,3.071431197E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.225281111E2,2.354793886E1,8.729003043E1,9.190687767E1,3.796520996E1,1.250000000E0,1.275000000E2,3.084207784E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.235226584E2,2.354793306E1,8.729004125E1,9.182461345E1,3.788293457E1,1.159999967E0,1.198000031E2,3.096940593E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.245255540E2,2.354792569E1,8.729005081E1,9.215085849E1,3.820916748E1,1.149999976E0,1.265000000E2,3.109648249E-1,3.790092468E0,2.500000000E0,2.700000000E1
2.255274443E2,2.354791858E1,8.729006057E1,9.241039195E1,3.846868896E1,1.149999976E0,1.231999969E2,3.122741628E-1,3.790092468E0,2.500000000E0,2.600000000E1
2.265284376E2,2.354791152E1,8.729007085E1,9.289038459E1,3.894866943E1,1.139999986E0,1.250000000E2,3.134398172E-1,3.790092468E0,2.500000000E0,2.500000000E1
2.275292456E2,2.354790581E1,8.729008044E1,9.332325640E1,3.938153076E1,1.059999943E0,1.271999969E2,3.147101950E-1,3.790092468E0,2.500000000E0,2.500000000E1
2.285243359E2,2.354790003E1,8.729009119E1,9.344533783E1,3.950360107E1,1.129999995E0,1.230000000E2,3.158680917E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.295280880E2,2.354789686E1,8.729010201E1,9.366379119E1,3.972204590E1,1.129999995E0,1.120000000E2,3.169588929E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.305279777E2,2.354789455E1,8.729011241E1,9.370011456E1,3.975836182E1,1.100000024E0,1.060999985E2,3.181233293E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.315283940E2,2.354789006E1,8.729012273E1,9.377666226E1,3.983489990E1,1.169999957E0,1.155999985E2,3.191767077E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.325257311E2,2.354788580E1,8.729013196E1,9.403912227E1,4.009735107E1,1.169999957E0,1.216999969E2,3.202654307E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.335258140E2,2.354788129E1,8.729014144E1,9.376142153E1,3.981964111E1,1.100000024E0,1.214000015E2,3.213609899E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.345258481E2,2.354787632E1,8.729015072E1,9.372047652E1,3.977868652E1,1.129999995E0,1.216999969E2,3.225551693E-1,3.790092468E0,2.500000000E0,2.000000000E1
2.355264912E2,2.354787167E1,8.729016128E1,9.357619930E1,3.963439941E1,1.149999976E0,1.201999969E2,3.236085555E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.365268169E2,2.354786732E1,8.729017046E1,9.342819795E1,3.948638916E1,1.120000005E0,1.256999969E2,3.246747735E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.375246606E2,2.354786345E1,8.729018003E1,9.322251810E1,3.928070068E1,1.169999957E0,1.234000015E2,3.258059498E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.385237315E2,2.354786262E1,8.729019109E1,9.297002195E1,3.902819824E1,1.110000014E0,1.135999985E2,3.269441890E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.395255304E2,2.354786086E1,8.729020209E1,9.302728013E1,3.908544922E1,1.159999967E0,1.140999985E2,3.281359172E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.405257401E2,2.354785788E1,8.729021332E1,9.293970322E1,3.899786377E1,1.110000014E0,1.224000015E2,3.292936618E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.415258266E2,2.354785730E1,8.729022466E1,9.291022943E1,3.896838379E1,1.129999995E0,1.164000015E2,3.304203412E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.425289665E2,2.354785372E1,8.729023500E1,9.280324350E1,3.886138916E1,1.100000024E0,1.250000000E2,3.315135426E-1,3.790092468E0,2.500000000E0,1.900000000E1
2.435224884E2,2.354785132E1,8.729024540E1,9.235134676E1,3.840948486E1,1.120000005E0,1.206999969E2,3.327716729E-1,3.790092468E0,2.500000000E0,1.800000000E1
2.445270978E2,2.354784769E1,8.729025709E1,9.230875364E1,3.836688232E1,1.100000024E0,1.200000000E2,3.340049087E-1,3.790092468E0,2.597872496E0,1.800000000E1
2.455270271E2,2.354784271E1,8.729026790E1,9.277238703E1,3.883050537E1,1.149999976E0,1.255000000E2,3.352512493E-1,3.790092468E0,2.501636028E0,1.800000000E1
2.465277871E2,2.354783737E1,8.729027865E1,9.285375758E1,3.891186523E1,1.259999990E0,1.280000000E2,3.364482836E-1,3.790092468E0,2.536937237E0,1.800000000E1
2.475254869E2,2.354783391E1,8.729028977E1,9.286975776E1,3.892785645E1,1.159999967E0,1.223000031E2,3.376886683E-1,3.790092468E0,2.500000000E0,1.800000000E1
2.485280586E2,2.354782886E1,8.729030062E1,9.296064954E1,3.901873779E1,1.159999967E0,1.243000031E2,3.389160986E-1,3.790092468E0,2.745933533E0,1.800000000E1
2.495244603E2,2.354782161E1,8.729030970E1,9.311800995E1,3.917608643E1,1.149999976E0,1.325000000E2,3.400569676E-1,3.790092468E0,2.948233604E0,1.800000000E1
2.505279840E2,2.354781629E1,8.729031927E1,9.320047853E1,3.925854492E1,1.169999957E0,1.231999969E2,3.411790020E-1,3.790092468E0,3.007496595E0,1.800000000E1
2.515280378E2,2.354781098E1,8.729032863E1,9.290239279E1,3.896044922E1,1.090000033E0,1.286000061E2,3.424033181E-1,3.790092468E0,2.869531870E0,1.700000000E1
2.525266175E2,2.354780658E1,8.729033964E1,9.342004181E1,3.947808838E1,1.139999986E0,1.203000031E2,3.436397393E-1,3.790092468E0,2.789629221E0,1.800000000E1
2.535288144E2,2.354780216E1,8.729035077E1,9.315314501E1,3.921118164E1,1.159999967E0,1.186999969E2,3.448449518E-1,3.790092468E0,2.781801462E0,1.800000000E1
2.545288099E2,2.354779611E1,8.729036058E1,9.294081464E1,3.899884033E1,1.179999948E0,1.225000000E2,3.461221785E-1,3.790092468E0,2.638346434E0,1.800000000E1
2.555237038E2,2.354779087E1,8.729037173E1,9.315072532E1,3.920874023E1,1.169999957E0,1.106999969E2,3.472868675E-1,3.790092468E0,2.673110247E0,1.800000000E1
2.565236398E2,2.354778710E1,8.729038239E1,9.321067090E1,3.926867676E1,1.149999976E0,1.091999969E2,3.485356662E-1,3.790092468E0,2.714734554E0,1.800000000E1
2.575257374E2,2.354778274E1,8.729039368E1,9.295305146E1,3.901104736E1,1.149999976E0,1.120999985E2,3.498044105E-1,3.790092468E0,2.859034300E0,1.800000000E1
2.585259951E2,2.354777685E1,8.729040434E1,9.320825064E1,3.926623535E1,1.179999948E0,1.190999985E2,3.508327847E-1,3.790092468E0,2.906340837E0,1.800000000E1
2.595282713E2,2.354777130E1,8.729041241E1,9.421808687E1,4.027606201E1,1.129999995E0,1.205999985E2,3.519815448E-1,3.790092468E0,2.981932402E0,1.800000000E1
2.605250601E2,2.354776683E1,8.729042257E1,9.412996162E1,4.018792725E1,1.149999976E0,1.135000000E2,3.531885373E-1,3.790092468E0,3.192362547E0,1.800000000E1
2.615260139E2,2.354776238E1,8.729043337E1,9.420840161E1,4.026635742E1,1.059999943E0,1.174000015E2,3.544943206E-1,3.790092468E0,3.228482723E0,1.800000000E1
2.625276193E2,2.354775815E1,8.729044532E1,9.429532582E1,4.035327148E1,1.100000024E0,1.178000031E2,3.558313158E-1,3.790092468E0,3.303417683E0,1.800000000E1
2.635273552E2,2.354775203E1,8.729045661E1,9.387279117E1,3.993072510E1,1.149999976E0,1.263000031E2,3.571652770E-1,3.790092468E0,3.446791887E0,1.800000000E1
2.645271863E2,2.354774653E1,8.729046824E1,9.374395723E1,3.980187988E1,1.139999986E0,1.236999969E2,3.584665949E-1,3.790092468E0,3.796380043E0,1.800000000E1
2.655280483E2,2.354773903E1,8.729047804E1,9.314899891E1,3.920690918E1,1.149999976E0,1.336000061E2,3.597347448E-1,3.790092468E0,4.058313370E0,1.700000000E1
2.665231430E2,2.354773312E1,8.729048868E1,9.300472301E1,3.906262207E1,1.129999995E0,1.275999985E2,3.610318329E-1,3.790092468E0,4.294142246E0,1.700000000E1
2.675240595E2,2.354772887E1,8.729050053E1,9.239377122E1,3.845166016E1,1.139999986E0,1.290000000E2,3.626378810E-1,3.790092468E0,4.016523838E0,1.700000000E1
2.685290832E2,2.354772633E1,8.729051604E1,9.196928192E1,3.802716064E1,1.179999948E0,1.140000000E2,3.640137601E-1,3.790092468E0,3.954983711E0,2.200000000E1
2.695265457E2,2.354772081E1,8.729052812E1,9.124926171E1,3.730712891E1,1.159999967E0,1.268000031E2,3.654411333E-1,3.790092468E0,3.694891214E0,2.400000000E1
2.705266407E2,2.354771521E1,8.729054072E1,9.107868030E1,3.713653564E1,1.149999976E0,1.164000015E2,3.667537253E-1,3.790092468E0,3.416722775E0,2.600000000E1
2.715259328E2,2.354770950E1,8.729055199E1,9.045308126E1,3.651092529E1,1.129999995E0,1.196999969E2,3.679631008E-1,3.790092468E0,3.268371582E0,2.600000000E1
2.725241278E2,2.354770277E1,8.729056131E1,9.015615660E1,3.621398926E1,1.129999995E0,1.195000000E2,3.692623446E-1,3.790092468E0,3.087962866E0,2.600000000E1
2.735299989E2,2.354769585E1,8.729057158E1,8.989206951E1,3.594989014E1,1.210000038E0,1.194000015E2,3.704832429E-1,3.790092468E0,2.935328484E0,2.600000000E1
2.745253640E2,2.354768926E1,8.729058116E1,8.965337238E1,3.571118164E1,1.169999957E0,1.238000031E2,3.717705451E-1,3.790092468E0,2.782198191E0,2.600000000E1
2.755283053E2,2.354768064E1,8.729058959E1,8.895972067E1,3.501751709E1,1.149999976E0,1.234000015E2,3.731136579E-1,3.790092468E0,2.599243879E0,2.600000000E1
2.765289534E2,2.354767165E1,8.729059839E1,8.789070330E1,3.394848633E1,1.220000029E0,1.186999969E2,3.743601508E-1,3.790092468E0,2.500000000E0,2.500000000E1
2.775282345E2,2.354766360E1,8.729060690E1,8.689315700E1,3.295092773E1,1.179999948E0,1.196999969E2,3.757260630E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.785239238E2,2.354765503E1,8.729061650E1,8.690061666E1,3.295837402E1,1.190000057E0,1.298000031E2,3.770072085E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.795292749E2,2.354764721E1,8.729062573E1,8.681029705E1,3.286804199E1,1.159999967E0,1.256999969E2,3.781889906E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.805279039E2,2.354764066E1,8.729063486E1,8.633624810E1,3.239398193E1,1.159999967E0,1.225999985E2,3.795672567E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.815284050E2,2.354763300E1,8.729064549E1,8.600520637E1,3.206292725E1,1.200000048E0,1.211999969E2,3.809186280E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.825281087E2,2.354762672E1,8.729065684E1,8.619326761E1,3.225097656E1,1.200000048E0,1.214000015E2,3.823638225E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.835244218E2,2.354761930E1,8.729066848E1,8.581504596E1,3.187274170E1,1.220000029E0,1.194000015E2,3.837750841E-1,3.790092468E0,2.500000000E0,2.100000000E1
2.845295887E2,2.354761151E1,8.729067941E1,8.544457580E1,3.150225830E1,1.200000048E0,1.193000031E2,3.851076679E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.855276337E2,2.354760515E1,8.729069049E1,8.494355007E1,3.100122070E1,1.129999995E0,1.196999969E2,3.864386572E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.865276250E2,2.354759938E1,8.729070193E1,8.466365431E1,3.072131348E1,1.220000029E0,1.193000031E2,3.877718388E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.875286682E2,2.354759191E1,8.729071216E1,8.482620350E1,3.088385010E1,1.200000048E0,1.245999985E2,3.891051802E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.885277415E2,2.354758500E1,8.729072285E1,8.486283682E1,3.092047119E1,1.220000029E0,1.190000000E2,3.902661465E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.895233183E2,2.354758030E1,8.729073302E1,8.456359121E1,3.062121582E1,1.149999976E0,1.141999969E2,3.915682105E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.905251083E2,2.354757298E1,8.729074299E1,8.532404051E1,3.138165283E1,1.269999981E0,1.240999985E2,3.927710210E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.915268191E2,2.354756649E1,8.729075243E1,8.561464008E1,3.167224121E1,1.179999948E0,1.223000031E2,3.939773836E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.925276697E2,2.354756049E1,8.729076229E1,8.544063976E1,3.149822998E1,1.190000057E0,1.220999985E2,3.951984433E-1,3.790092468E0,2.500000000E0,2.200000000E1
2.935290844E2,2.354755373E1,8.729077173E1,8.643997984E1,3.249755859E1,1.190000057E0,1.206999969E2,3.964260279E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.945251452E2,2.354754725E1,8.729078148E1,8.613566989E1,3.219323730E1,1.289999962E0,1.203000031E2,3.975675050E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.955256907E2,2.354754183E1,8.729079099E1,8.551745494E1,3.157501221E1,1.240000010E0,1.125999985E2,3.990047955E-1,3.790092468E0,2.500000000E0,2.300000000E1
2.965274864E2,2.354753463E1,8.729080270E1,8.524750948E1,3.130505371E1,1.250000000E0,1.196999969E2,4.003541777E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.975272969E2,2.354752840E1,8.729081406E1,8.530355163E1,3.136108398E1,1.279999971E0,1.171999969E2,4.014662874E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.985277777E2,2.354752345E1,8.729082354E1,8.551108083E1,3.156860352E1,1.169999957E0,1.205000000E2,4.027053688E-1,3.790092468E0,2.500000000E0,2.400000000E1
2.995283044E2,2.354751782E1,8.729083403E1,8.543662879E1,3.149414062E1,1.250000000E0,1.165000000E2,4.039192127E-1,3.790092468E0,2.500000000E0,2.400000000E1
3.005256724E2,2.354751174E1,8.729084392E1,8.533666421E1,3.139416504E1,1.200000048E0,1.230999985E2,4.050435383E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.015253871E2,2.354750691E1,8.729085361E1,8.555023587E1,3.160772705E1,1.159999967E0,1.195999985E2,4.062973806E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.025309022E2,2.354750172E1,8.729086453E1,8.546272207E1,3.152020264E1,1.220000029E0,1.223000031E2,4.075303067E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.035280790E2,2.354749682E1,8.729087538E1,8.522817426E1,3.128564453E1,1.220000029E0,1.195000000E2,4.086893318E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.045265485E2,2.354749101E1,8.729088482E1,8.498001582E1,3.103747559E1,1.169999957E0,1.240000000E2,4.098681095E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.055283144E2,2.354748490E1,8.729089427E1,8.482066385E1,3.087811279E1,1.269999981E0,1.179000015E2,4.110863788E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.065242837E2,2.354747783E1,8.729090340E1,8.457183514E1,3.062927246E1,1.259999990E0,1.193000031E2,4.123375207E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.075246975E2,2.354747240E1,8.729091415E1,8.435205832E1,3.040948486E1,1.269999981E0,1.171999969E2,4.133928150E-1,3.790092468E0,2.500000000E0,2.500000000E1
