"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.152757363E1,2.354692522E1,8.728877863E1,9.607829840E1,4.213623047E1,9.499999881E-1,2.889999962E1,9.484342262E-2,3.790092468E0,2.890397310E0,2.800000000E1
3.252673400E1,2.354692841E1,8.728878364E1,9.597441584E1,4.203234863E1,8.199999928E-1,3.500000000E1,9.555295483E-2,3.790092468E0,2.774785995E0,2.700000000E1
3.352487473E1,2.354692973E1,8.728879045E1,9.625902481E1,4.231695557E1,7.900000215E-1,4.120000076E1,9.657473675E-2,3.790092468E0,2.635450125E0,2.700000000E1
3.452522874E1,2.354693297E1,8.728879983E1,9.615618196E1,4.221411133E1,9.800000191E-1,5.920000076E1,9.760771668E-2,3.790092468E0,2.503318071E0,2.700000000E1
3.552475019E1,2.354693519E1,8.728880967E1,9.586877004E1,4.192669678E1,9.300000072E-1,7.259999847E1,9.855133689E-2,3.790092468E0,2.500000000E0,2.600000000E1
3.652575613E1,2.354693826E1,8.728881830E1,9.582067552E1,4.187860107E1,8.899999857E-1,6.590000153E1,9.951894690E-2,3.790092468E0,2.500000000E0,2.600000000E1
3.752809212E1,2.354694258E1,8.728882654E1,9.581365622E1,4.187158203E1,9.499999881E-1,6.129999924E1,1.003467484E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.852568025E1,2.354694780E1,8.728883233E1,9.492998684E1,4.098791504E1,8.199999928E-1,5.559999847E1,1.012251425E-1,3.790092468E0,2.500000000E0,2.500000000E1
3.952897525E1,2.354695316E1,8.728883866E1,9.494542648E1,4.100335693E1,9.300000072E-1,5.179999924E1,1.021858682E-1,3.790092468E0,2.500000000E0,2.600000000E1
4.052513926E1,2.354695706E1,8.728884707E1,9.432439401E1,4.038232422E1,8.999999762E-1,5.140000153E1,1.031583007E-1,3.790092468E0,2.500000000E0,2.600000000E1
4.152808915E1,2.354696307E1,8.728885400E1,9.458214286E1,4.064007568E1,9.800000191E-1,3.740000153E1,1.040912443E-1,3.790092468E0,2.500000000E0,2.800000000E1
4.252652852E1,2.354696893E1,8.728886055E1,9.448564364E1,4.054357910E1,1.049999952E0,2.920000076E1,1.050527620E-1,3.790092468E0,2.500000000E0,2.800000000E1
4.352769316E1,2.354697517E1,8.728886708E1,9.390885837E1,3.996679688E1,1.019999981E0,3.070000076E1,1.059207468E-1,3.790092468E0,2.500000000E0,2.800000000E1
4.452641457E1,2.354698101E1,8.728887273E1,9.296067414E1,3.901861572E1,9.800000191E-1,2.629999924E1,1.067898105E-1,3.790092468E0,2.500000000E0,2.800000000E1
4.552982352E1,2.354698711E1,8.728887806E1,9.232053393E1,3.837847900E1,9.900000095E-1,2.550000000E1,1.076917467E-1,3.790092468E0,2.500000000E0,2.800000000E1
4.652627462E1,2.354699339E1,8.728888366E1,9.180221985E1,3.786016846E1,9.900000095E-1,2.920000076E1,1.086207611E-1,3.790092468E0,2.500000000E0,2.800000000E1
4.752472847E1,2.354699975E1,8.728888957E1,9.151669392E1,3.757464600E1,9.700000286E-1,3.570000076E1,1.095982095E-1,3.790092468E0,2.500000000E0,2.700000000E1
4.852761134E1,2.354700809E1,8.728889260E1,9.075673831E1,3.681469727E1,9.599999785E-1,1.939999962E1,1.106253883E-1,3.790092468E0,2.500000000E0,2.700000000E1
4.952932857E1,2.354701660E1,8.728889652E1,9.038295240E1,3.644091797E1,9.700000286E-1,2.479999924E1,1.115944421E-1,3.790092468E0,2.500000000E0,2.400000000E1
5.052400238E1,2.354702471E1,8.728890000E1,9.028229900E1,3.634027100E1,1.000000000E0,2.700000000E1,1.125462470E-1,3.790092468E0,2.500000000E0,2.500000000E1
5.152720107E1,2.354703225E1,8.728890442E1,8.998950796E1,3.604748535E1,9.900000095E-1,2.700000000E1,1.135783461E-1,3.790092468E0,2.500000000E0,2.400000000E1
5.252871602E1,2.354704009E1,8.728890984E1,8.945593343E1,3.551391602E1,1.000000000E0,3.250000000E1,1.143573788E-1,3.790092468E0,2.500000000E0,2.400000000E1
5.352371227E1,2.354704621E1,8.728891356E1,8.938073381E1,3.543872070E1,9.100000262E-1,3.139999962E1,1.152976688E-1,3.790092468E0,2.500000000E0,2.400000000E1
5.453354399E1,2.354705398E1,8.728891720E1,8.902806667E1,3.508605957E1,1.000000000E0,3.170000076E1,1.160291869E-1,3.790092468E0,2.500000000E0,2.400000000E1
5.552645800E1,2.354706029E1,8.728891923E1,8.899308819E1,3.505108643E1,1.009999990E0,2.529999924E1,1.169903802E-1,3.790092468E0,2.500000000E0,2.500000000E1
5.652750347E1,2.354706855E1,8.728892201E1,8.835898703E1,3.441699219E1,1.000000000E0,3.650000000E1,1.181159647E-1,3.790092468E0,2.500000000E0,2.500000000E1
5.752446284E1,2.354707821E1,8.728892531E1,8.827224800E1,3.433026123E1,1.029999971E0,2.789999962E1,1.192371020E-1,3.790092468E0,2.500000000E0,2.500000000E1
5.852826237E1,2.354708797E1,8.728892807E1,8.834468829E1,3.440270996E1,9.300000072E-1,3.200000000E1,1.202421418E-1,3.790092468E0,2.500000000E0,2.500000000E1
5.952690831E1,2.354709683E1,8.728893002E1,8.824464373E1,3.430267334E1,9.700000286E-1,2.789999962E1,1.213851945E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.052530732E1,2.354710676E1,8.728893292E1,8.813001116E1,3.418804932E1,9.900000095E-1,3.060000038E1,1.224369829E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.152556117E1,2.354711535E1,8.728893724E1,8.773986795E1,3.379791260E1,9.900000095E-1,3.490000153E1,1.235144023E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.252718196E1,2.354712444E1,8.728894090E1,8.756438455E1,3.362243652E1,9.900000095E-1,3.110000038E1,1.245710268E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.352536164E1,2.354713327E1,8.728894473E1,8.725352552E1,3.331158447E1,9.800000191E-1,2.989999962E1,1.256448568E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.452763815E1,2.354714172E1,8.728894983E1,8.688096096E1,3.293902588E1,1.000000000E0,4.040000153E1,1.266448446E-1,3.790092468E0,2.500000000E0,2.700000000E1
6.552631956E1,2.354714989E1,8.728895393E1,8.644815449E1,3.250622559E1,8.999999762E-1,3.579999924E1,1.277090010E-1,3.790092468E0,2.500000000E0,2.500000000E1
6.652482445E1,2.354715849E1,8.728895851E1,8.654446159E1,3.260253906E1,1.009999990E0,2.920000076E1,1.287000890E-1,3.790092468E0,2.500000000E0,2.500000000E1
6.752784393E1,2.354716683E1,8.728896194E1,8.648506770E1,3.254315186E1,9.900000095E-1,2.339999962E1,1.295778431E-1,3.790092468E0,2.500000000E0,2.500000000E1
6.852713763E1,2.354717390E1,8.728896577E1,8.650465477E1,3.256274414E1,9.300000072E-1,3.020000076E1,1.304640865E-1,3.790092468E0,2.500000000E0,2.600000000E1
6.952809289E1,2.354718049E1,8.728897066E1,8.628480193E1,3.234289551E1,1.009999990E0,3.390000153E1,1.314882595E-1,3.790092468E0,2.500000000E0,2.600000000E1
7.052568695E1,2.354718865E1,8.728897532E1,8.589240102E1,3.195050049E1,1.049999952E0,2.910000038E1,1.326011208E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.153154221E1,2.354719729E1,8.728898083E1,8.588104252E1,3.193914795E1,1.029999971E0,3.550000000E1,1.336548317E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.252921893E1,2.354720500E1,8.728898684E1,8.548742203E1,3.154553223E1,1.080000043E0,3.529999924E1,1.346421760E-1,3.790092468E0,2.500000000E0,2.500000000E1
7.352674372E1,2.354721297E1,8.728899111E1,8.507597814E1,3.113409424E1,1.009999990E0,2.839999962E1,1.357531042E-1,3.790092468E0,2.500000000E0,2.600000000E1
7.452872393E1,2.354722240E1,8.728899471E1,8.491227416E1,3.097039795E1,1.009999990E0,3.279999924E1,1.369845840E-1,3.790092468E0,2.500000000E0,2.600000000E1
7.552910117E1,2.354723303E1,8.728899810E1,8.475986037E1,3.081799316E1,1.049999952E0,2.720000076E1,1.380641443E-1,3.790092468E0,2.500000000E0,2.600000000E1
7.652815377E1,2.354724136E1,8.728900354E1,8.456539668E1,3.062353516E1,1.009999990E0,3.290000153E1,1.391506518E-1,3.790092468E0,2.500000000E0,2.700000000E1
7.752421461E1,2.354725017E1,8.728900815E1,8.429414987E1,3.035229492E1,9.800000191E-1,3.429999924E1,1.403264780E-1,3.790092468E0,2.500000000E0,2.700000000E1
7.852700362E1,2.354725944E1,8.728901370E1,8.405104027E1,3.010919189E1,1.049999952E0,3.400000000E1,1.414526448E-1,3.790092468E0,2.500000000E0,2.700000000E1
7.952775101E1,2.354726795E1,8.728901969E1,8.399347853E1,3.005163574E1,1.049999952E0,3.220000076E1,1.426051623E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.052534247E1,2.354727749E1,8.728902411E1,8.419799994E1,3.025616455E1,1.029999971E0,2.689999962E1,1.437317387E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.152617690E1,2.354728678E1,8.728902852E1,8.417443321E1,3.023260498E1,9.800000191E-1,2.760000038E1,1.447773506E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.252482940E1,2.354729527E1,8.728903293E1,8.428184874E1,3.034002686E1,9.599999785E-1,2.839999962E1,1.460182893E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.352652518E1,2.354730524E1,8.728903840E1,8.480002990E1,3.085821533E1,9.700000286E-1,3.259999847E1,1.470632521E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.452642476E1,2.354731271E1,8.728904462E1,8.512497664E1,3.118316650E1,9.800000191E-1,3.490000153E1,1.482764811E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.552898512E1,2.354732146E1,8.728905173E1,8.541995427E1,3.147814941E1,1.070000052E0,3.240000153E1,1.494409483E-1,3.790092468E0,2.500000000E0,2.700000000E1
