time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
14.841942,0.0474,0.0128,-0.0032,0.049
14.843442,0.0490,0.0243,0.0039,0.055
14.849833,0.0409,-0.0093,0.0040,0.042
14.859501,0.0164,-0.0190,-0.0174,0.031
14.860608,0.0041,-0.0332,-0.0125,0.036
14.863779,0.0113,-0.0186,-0.0195,0.029
14.868227,0.0092,0.0056,-0.0479,0.049
14.873304,0.0004,-0.0084,-0.0333,0.034
14.878577,0.0016,0.0065,-0.0402,0.041
14.882669,0.0146,0.0355,-0.0352,0.052
14.889803,-0.0009,0.0572,-0.0113,0.058
14.892635,0.0262,0.0026,0.0006,0.026
14.899270,0.0148,-0.0111,-0.0114,0.022
14.903417,-0.0110,-0.0151,-0.0232,0.030
14.907383,0.0203,-0.0025,-0.0230,0.031
14.911982,-0.0318,-0.0111,-0.0086,0.035
14.917622,-0.0407,0.0089,0.0128,0.044
14.921701,-0.0448,-0.0021,0.0554,0.071
14.926116,-0.0371,-0.0176,0.1000,0.108
14.963492,-0.0535,-0.0094,0.1704,0.179
14.964233,-0.0632,-0.0086,0.1998,0.210
14.964592,-0.0705,-0.0011,0.2125,0.224
14.964926,-0.0827,-0.0154,0.2226,0.238
14.965302,-0.0686,-0.0465,0.1828,0.201
14.965850,-0.0736,-0.0446,0.1624,0.184
14.966267,-0.0761,-0.0454,0.0970,0.131
14.966667,-0.0261,-0.0560,0.0440,0.076
14.971871,-0.1165,-0.0405,0.0129,0.124
14.976749,-0.1371,-0.0273,-0.0371,0.145
14.981289,-0.0079,-0.0283,-0.0984,0.103
14.987193,0.0660,0.0208,-0.1332,0.150
14.995689,0.0732,0.0054,-0.1013,0.125
14.996313,0.0212,0.0143,-0.1480,0.150
15.003655,-0.0112,0.0353,-0.1587,0.163
15.006418,0.0018,0.0208,-0.1693,0.171
15.011286,0.0454,0.0115,-0.1656,0.172
15.018306,0.0624,0.0261,-0.1192,0.137
15.021235,0.0670,0.0290,-0.0921,0.118
15.027174,0.0500,0.0367,-0.0249,0.067
15.035887,0.0567,0.0324,0.0133,0.067
15.037224,0.0372,0.0233,0.0512,0.067
15.042060,0.0228,0.0215,0.0958,0.101
15.054642,0.0109,0.0172,0.1330,0.135
15.055756,-0.0129,-0.0016,0.1699,0.170
15.056293,0.0085,-0.0254,0.1590,0.161
15.059949,-0.0083,-0.0041,0.1410,0.141
15.064722,-0.0416,0.0071,0.0924,0.102
15.070268,-0.0486,0.0086,0.0323,0.059
15.074197,-0.0366,-0.0138,-0.0107,0.041
15.081239,-0.0058,-0.0290,-0.0533,0.061
15.084759,0.0056,-0.0510,-0.0741,0.090
15.089957,0.0406,-0.0440,-0.0877,0.106
15.094262,0.0708,-0.0510,-0.1059,0.137
15.098851,0.0391,-0.0601,-0.0813,0.108
15.104781,0.0600,-0.0642,-0.0806,0.119
15.108021,0.0285,-0.0585,-0.0420,0.077
15.113618,0.0020,-0.0575,-0.0036,0.058
15.119845,-0.0005,-0.0281,-0.0036,0.028
15.123241,-0.0006,-0.0085,0.0320,0.033
15.128647,-0.0030,-0.0485,0.0270,0.056
15.133997,0.0041,-0.0053,0.0339,0.035
15.138252,-0.0082,0.0017,0.0527,0.053
15.143063,0.0080,-0.0010,0.0167,0.019
15.156872,0.0477,0.0033,0.0142,0.050
15.158280,0.0324,-0.0022,0.0070,0.033
15.159866,0.0125,0.0185,-0.0286,0.036
15.172751,-0.0118,0.0319,-0.0711,0.079
15.174090,0.0165,0.0099,-0.1108,0.112
15.174531,0.0424,-0.0023,-0.1146,0.122
15.177903,0.1180,-0.0188,-0.0994,0.155
15.183069,0.0912,-0.0088,-0.1295,0.159
15.188317,0.0604,0.0037,-0.1142,0.129
15.193102,0.0610,0.0376,-0.1039,0.126
15.198029,0.0523,0.0526,-0.0770,0.107
15.203065,0.0389,0.0913,-0.1073,0.146
15.208531,0.0443,0.0870,-0.0638,0.117
15.214519,0.0543,0.0875,-0.0277,0.107
15.217775,0.0521,0.0809,-0.0062,0.096
15.222428,0.0428,0.0622,0.0413,0.086
15.235476,0.0239,0.0364,0.0385,0.058
15.236523,0.0310,0.0462,0.0738,0.092
15.238056,0.0165,0.0484,0.0565,0.076
15.243835,0.0068,0.0387,0.0703,0.081
15.256924,-0.0027,0.0097,0.0626,0.063
15.257957,-0.0170,0.0213,0.0384,0.047
15.258471,-0.0385,0.0163,-0.0094,0.043
15.262513,-0.0172,-0.0004,-0.0212,0.027
15.267709,-0.0197,-0.0143,0.0099,0.026
15.272174,-0.0172,-0.0519,-0.0163,0.057
15.281115,0.0047,-0.0651,0.0075,0.066
15.282327,-0.0231,-0.0948,0.0287,0.102
15.286504,-0.0364,-0.0626,0.0451,0.085
15.291297,-0.0521,-0.0521,0.0779,0.107
15.296348,-0.0417,-0.0394,0.0511,0.077
15.300322,-0.0505,-0.0057,0.0292,0.059
15.305284,-0.0286,-0.0364,0.0124,0.048
15.313335,-0.0332,-0.0100,0.0241,0.042
15.316324,-0.0379,-0.0099,-0.0093,0.040
15.321259,-0.0118,-0.0147,-0.0068,0.020
15.330359,-0.0192,-0.0384,-0.0281,0.051
15.331312,-0.0193,-0.0380,-0.0231,0.048
15.335249,-0.0004,-0.0280,-0.0205,0.035
15.340799,-0.0218,-0.0323,-0.0203,0.044
15.351038,-0.0000,-0.0008,-0.0036,0.004
15.351973,-0.0115,0.0186,0.0344,0.041
15.361158,-0.0158,0.0235,0.0555,0.062
15.361846,-0.0036,0.0138,0.0645,0.066
15.366713,-0.0179,0.0160,0.0806,0.084
15.371098,-0.0109,0.0108,0.0562,0.058
15.375925,-0.0087,0.0031,0.0486,0.049
15.380430,0.0124,0.0240,0.0008,0.027
15.385751,0.0095,0.0257,-0.0040,0.028
15.390773,0.0233,0.0085,0.0009,0.025
15.395257,0.0324,-0.0084,0.0151,0.037
15.399728,0.0154,-0.0299,0.0174,0.038
15.404868,0.0201,-0.0061,0.0220,0.030
15.410914,-0.0297,-0.0109,-0.0067,0.032
15.415422,-0.0222,-0.0393,0.0432,0.062
15.420100,-0.0101,-0.0485,0.0523,0.072
15.425170,0.0255,-0.0411,0.0946,0.106
15.428594,0.0156,-0.0412,0.1034,0.112
15.434964,-0.0017,-0.0105,0.0717,0.072
15.439088,-0.0142,-0.0348,0.0284,0.047
15.450321,-0.0339,-0.0306,0.0069,0.046
15.451279,-0.0250,-0.0050,-0.0169,0.031
15.459660,-0.0257,0.0110,-0.0238,0.037
15.460128,-0.0120,0.0316,-0.0069,0.035
15.467362,0.0229,0.0355,0.0146,0.045
15.469066,0.0243,0.0297,0.0051,0.039
15.474923,0.0306,0.0335,-0.0187,0.049
15.480159,0.0393,0.0492,-0.0327,0.071
15.484370,0.0555,0.0172,-0.0561,0.081
15.489812,0.0386,0.0402,-0.0865,0.103
15.494580,0.0625,0.0348,-0.1120,0.133
15.499214,0.0579,0.0463,-0.1182,0.140
15.503430,0.0674,0.0294,-0.0959,0.121
15.509058,0.0530,0.0224,-0.0690,0.090
15.513120,0.0364,0.0179,-0.0542,0.068
15.521231,0.0439,-0.0241,-0.0776,0.092
15.530249,0.0465,-0.0396,-0.0675,0.091
15.531111,0.0251,-0.0477,-0.0361,0.065
15.534905,0.0178,-0.0271,-0.0002,0.032
15.548307,0.0221,-0.0328,0.0211,0.045
15.549255,0.0141,-0.0174,0.0685,0.072
15.549768,-0.0035,-0.0142,0.0941,0.095
15.552211,-0.0049,-0.0303,0.0625,0.070
15.557762,-0.0326,-0.0370,0.0811,0.095
15.562438,-0.0224,-0.0392,0.0426,0.062
15.568404,-0.0215,-0.0153,0.0257,0.037
15.573329,-0.0226,-0.0368,0.0090,0.044
15.578223,-0.0420,-0.0393,0.0256,0.063
15.583140,0.0010,-0.0466,0.0515,0.069
15.586873,-0.0225,-0.0398,0.0416,0.062
15.592090,-0.0647,-0.0592,-0.0015,0.088
15.597625,-0.0327,-0.0405,-0.0894,0.103
15.602172,0.0183,0.0043,-0.1314,0.133
15.606379,-0.0094,0.0208,-0.1779,0.179
15.612767,-0.0060,0.0114,-0.2026,0.203
15.616998,-0.0454,0.0123,-0.1891,0.195
15.622694,-0.0371,0.0397,-0.1734,0.182
15.626761,-0.0028,0.0364,-0.0865,0.094
15.631915,-0.0046,0.0428,-0.0123,0.045
15.635792,-0.0186,0.0608,0.0637,0.090
15.655591,-0.0519,0.0570,0.1439,0.163
15.658118,-0.0331,0.0716,0.1736,0.191
15.658739,-0.0552,0.0713,0.1984,0.218
15.659253,-0.0061,0.0751,0.1944,0.208
15.661015,-0.0242,0.0380,0.1739,0.180
15.665670,-0.0139,0.0340,0.1465,0.151
15.674923,0.0198,0.0393,0.1170,0.125
15.675991,0.0222,0.0278,0.0663,0.075
15.681448,0.0270,0.0233,0.0612,0.071
15.686558,0.0319,0.0094,-0.0222,0.040
15.690583,0.0299,0.0054,-0.1145,0.118
15.696097,0.0496,-0.0005,-0.1514,0.159
15.701210,0.0267,-0.0249,-0.1548,0.159
15.705279,0.0397,-0.0012,-0.1914,0.195
15.711613,0.0102,0.0063,-0.1684,0.169
15.716432,0.0333,-0.0075,-0.1456,0.150
15.724228,0.0257,0.0030,-0.1159,0.119
15.725177,0.0042,-0.0079,-0.0793,0.080
15.731542,-0.0336,-0.0422,-0.0454,0.071
15.737504,-0.0424,-0.0383,-0.0451,0.073
15.748069,-0.0156,-0.0536,0.0003,0.056
15.749571,-0.0224,-0.0286,0.0383,0.053
15.750197,-0.0198,-0.0136,0.0451,0.051
15.769137,-0.0222,0.0154,0.0138,0.030
15.770279,-0.0295,0.0297,0.0304,0.052
15.770739,0.0201,0.0342,0.0373,0.054
15.771213,0.0312,0.0292,0.0156,0.046
15.775121,0.0330,0.0289,0.0037,0.044
15.780978,0.0444,0.0168,-0.0225,0.053
15.784836,0.0037,0.0192,-0.0342,0.039
15.790007,-0.0296,0.0005,0.0207,0.036
15.795086,-0.0032,-0.0014,-0.0008,0.004
15.799168,0.0066,0.0161,-0.0222,0.028
15.806862,0.0020,-0.0046,0.0586,0.059
15.809200,0.0067,0.0081,0.0938,0.094
15.814952,-0.0125,0.0085,0.0906,0.092
15.822854,-0.0461,0.0039,0.1184,0.127
15.823544,-0.0724,-0.0177,0.1151,0.137
15.829341,-0.0535,-0.0228,0.1023,0.118
15.834307,-0.0468,-0.0114,0.0778,0.091
15.845781,-0.0380,0.0138,0.0701,0.081
15.846822,-0.0225,0.0219,0.0625,0.070
15.849034,-0.0236,0.0371,0.0170,0.047
15.860235,-0.0365,0.0427,-0.0519,0.076
15.861342,-0.0230,0.0341,-0.0775,0.088
15.864332,0.0072,0.0282,-0.1218,0.125
15.867885,0.0159,0.0061,-0.1041,0.106
15.873024,0.0247,0.0152,-0.1175,0.121
15.878836,0.0168,0.0101,-0.1046,0.106
15.882986,0.0234,-0.0019,-0.0776,0.081
15.888855,0.0349,-0.0163,-0.1054,0.112
15.891730,0.0225,0.0076,-0.0523,0.057
15.898473,0.0410,-0.0067,-0.0352,0.054
15.903150,0.0494,-0.0185,0.0103,0.054
15.908368,0.0218,-0.0255,-0.0087,0.035
15.912617,0.0204,-0.0133,-0.0181,0.030
15.919716,0.0332,-0.0178,-0.0226,0.044
15.922736,0.0436,-0.0174,-0.0009,0.047
15.927111,0.0138,-0.0168,-0.0103,0.024
15.931448,-0.0039,-0.0185,0.0040,0.019
15.937519,0.0097,-0.0154,0.0468,0.050
15.942769,0.0043,0.0065,0.0583,0.059
15.948223,-0.0080,-0.0003,0.0388,0.040
15.960315,0.0085,0.0142,0.0243,0.029
15.961309,0.0463,0.0000,0.0146,0.049
15.961970,0.0197,0.0214,0.0264,0.039
15.968712,0.0598,0.0306,0.0333,0.075
15.976703,0.0829,0.0112,0.0045,0.084
15.978018,0.0654,-0.0153,0.0021,0.067
15.984978,0.0574,-0.0297,-0.0169,0.067
15.986301,0.0374,-0.0084,-0.0333,0.051
15.990938,0.0246,-0.0134,-0.0235,0.037
15.997213,0.0260,-0.0281,-0.0208,0.044
16.001584,0.0252,0.0025,-0.0348,0.043
16.005919,-0.0112,-0.0051,-0.0630,0.064
16.018922,0.0218,-0.0053,-0.0743,0.078
16.019676,0.0285,0.0089,-0.1069,0.111
16.021128,0.0069,0.0090,-0.1298,0.130
16.026083,0.0166,-0.0144,-0.1311,0.133
16.037675,0.0073,-0.0135,-0.1395,0.140
16.039453,0.0122,-0.0149,-0.1052,0.107
16.040661,-0.0068,0.0123,-0.0924,0.094
16.046969,-0.0067,0.0110,-0.0774,0.079
16.055333,0.0217,0.0287,-0.0293,0.046
16.056453,-0.0191,0.0272,-0.0125,0.036
16.062979,0.0163,0.0186,-0.0005,0.025
16.065126,-0.0105,0.0005,0.0423,0.044
16.070668,-0.0039,0.0015,0.0158,0.016
16.075902,-0.0331,-0.0072,0.0229,0.041
16.079739,-0.0359,-0.0065,0.0417,0.055
16.085284,-0.0171,-0.0130,0.0604,0.064
16.090140,0.0086,-0.0100,0.0670,0.068
16.095851,0.0128,0.0024,0.0689,0.070
16.101829,0.0170,0.0097,0.0921,0.094
16.104389,0.0499,0.0050,0.0961,0.108
16.109341,-0.0026,-0.0115,-0.0139,0.018
16.113701,-0.0573,-0.0396,0.0598,0.092
16.120044,-0.0551,-0.0318,0.1282,0.143
16.124411,0.0085,-0.0289,0.1628,0.166
16.128944,-0.0111,-0.0168,0.1045,0.106
16.141499,-0.0208,-0.0287,0.1226,0.128
16.142547,-0.0232,-0.0479,0.1098,0.122
16.144352,-0.0186,-0.0431,0.0875,0.099
16.150983,0.0051,-0.0384,0.0346,0.052
16.159593,-0.0378,-0.0220,-0.0084,0.045
16.160499,-0.0707,-0.0245,-0.0440,0.087
16.163974,-0.0320,-0.0031,-0.0436,0.054
16.168418,-0.0246,0.0134,-0.0622,0.068
16.173765,-0.0222,0.0110,-0.0783,0.082
16.179679,-0.0319,0.0252,-0.0397,0.057
16.188168,-0.0182,0.0204,-0.0203,0.034
16.189149,0.0115,0.0179,-0.0224,0.031
16.194334,-0.0590,0.0249,-0.0506,0.082
16.199507,-0.0032,0.0032,-0.0429,0.043
16.202789,0.0880,-0.0350,-0.0092,0.095
16.208898,0.0412,-0.0467,0.0147,0.064
16.213139,0.0045,-0.0063,-0.0115,0.014
16.218264,0.0040,0.0172,0.0077,0.019
16.223574,0.0107,0.0025,-0.0375,0.039
16.228120,0.0081,0.0260,-0.0324,0.042
16.239911,0.0103,-0.0148,-0.0416,0.045
16.240919,0.0221,0.0042,-0.0650,0.069
16.242812,0.0387,-0.0077,-0.0573,0.070
16.258249,0.0245,0.0258,-0.0688,0.077
16.259271,0.0107,0.0284,-0.0683,0.075
16.259755,0.0329,-0.0045,-0.0796,0.086
16.262682,0.0099,0.0128,-0.0506,0.053
16.266869,0.0200,0.0300,-0.0288,0.046
16.271385,0.0179,0.0138,-0.0073,0.024
16.278046,-0.0106,0.0355,0.0165,0.041
16.281295,-0.0177,0.0141,0.0330,0.040
16.287079,0.0155,0.0330,0.0280,0.046
16.291810,0.0223,0.0231,0.0444,0.055
16.297573,0.0075,0.0297,0.0274,0.041
16.300915,0.0259,0.0055,0.0130,0.029
16.306303,0.0131,0.0146,-0.0108,0.022
16.312577,-0.0090,-0.0049,0.0107,0.015
16.316796,-0.0211,-0.0221,-0.0297,0.043
16.321747,-0.0042,-0.0438,-0.0508,0.067
16.326496,-0.0084,0.0037,-0.0457,0.047
16.337470,-0.0099,0.0036,-0.0572,0.058
16.338323,0.0317,0.0157,-0.0782,0.086
16.341817,0.0115,0.0161,-0.1228,0.124
16.356018,0.0274,0.0240,-0.1243,0.130
16.357336,0.0291,0.0037,-0.1068,0.111
16.357978,0.0238,-0.0232,-0.0848,0.091
16.362085,0.0446,0.0073,-0.0510,0.068
16.367807,0.0034,0.0187,-0.0080,0.021
16.371364,-0.0021,0.0251,0.0726,0.077
16.375412,-0.0127,0.0645,0.1740,0.186
16.385785,-0.0237,0.0199,0.2033,0.206
16.386747,-0.0399,-0.0298,0.1826,0.189
16.391303,-0.0517,-0.0751,0.1716,0.194
16.397604,-0.0308,-0.1133,0.1726,0.209
16.401749,-0.0102,-0.1232,0.1428,0.189
16.405608,-0.0470,-0.1189,0.0753,0.148
16.410688,-0.0287,-0.1099,-0.0107,0.114
16.415870,-0.0415,-0.1126,-0.0628,0.135
16.422461,-0.0351,-0.0674,-0.0764,0.108
16.425903,-0.0072,-0.0790,-0.0685,0.105
16.431899,-0.0103,-0.0831,-0.0655,0.106
16.433942,0.0179,-0.0465,-0.0222,0.055
16.439816,-0.0484,-0.0339,0.0183,0.062
16.457500,-0.0634,-0.0449,0.0180,0.080
16.458971,-0.0565,-0.0393,0.0486,0.084
16.459479,-0.0280,-0.0030,0.0932,0.097
16.459837,-0.0141,0.0257,0.1302,0.133
16.466211,-0.0261,0.0300,0.1124,0.119
16.474514,-0.0240,0.0363,0.1089,0.117
16.474798,-0.0035,0.0374,0.1198,0.126
16.480748,0.0072,0.0456,0.1211,0.130
16.484594,-0.0205,0.0796,0.1058,0.134
16.490348,0.0185,0.1040,0.0503,0.117
16.495887,0.0501,0.0971,0.0474,0.119
16.497940,0.1007,0.0592,0.0588,0.131
16.503692,0.1012,0.0310,0.0369,0.112
16.507634,0.0494,0.0028,0.0152,0.052
16.514510,0.0092,0.0650,-0.0443,0.079
16.519299,-0.0095,0.0934,-0.0843,0.126
16.525067,0.0572,0.1241,-0.1002,0.169
16.534072,0.0686,0.1047,-0.1326,0.182
16.534825,0.0942,0.0953,-0.1576,0.207
16.538336,0.1029,0.0529,-0.1823,0.216
16.545972,0.0832,0.0516,-0.1571,0.185
16.548439,0.0591,0.0195,-0.1558,0.168
16.553695,0.0401,0.0186,-0.1046,0.114
16.560434,0.0521,0.0202,-0.0848,0.102
16.563966,0.0710,0.0005,-0.1031,0.125
16.567418,0.0256,0.0072,-0.0833,0.087
16.573941,0.0042,0.0045,-0.1301,0.130
16.579528,0.0232,0.0019,-0.0744,0.078
16.585525,0.0111,-0.0078,-0.0666,0.068
16.587522,0.0392,-0.0125,-0.0755,0.086
16.595229,0.0339,-0.0172,-0.0345,0.051
16.600787,0.0524,-0.0383,-0.0034,0.065
16.603040,0.0542,-0.0712,0.0014,0.090
16.607170,0.0537,-0.0731,0.0062,0.091
16.613568,0.0156,-0.0987,0.0013,0.100
16.618340,-0.0126,-0.0623,-0.0129,0.065
16.622356,-0.0142,-0.0523,-0.0081,0.055
16.635349,-0.0203,-0.0328,0.0037,0.039
16.636417,-0.0021,-0.0610,0.0345,0.070
16.636970,0.0255,-0.0558,0.0792,0.100
16.643529,0.0220,-0.0439,0.0784,0.092
16.653529,-0.0103,-0.0559,0.0967,0.112
16.654653,-0.0046,-0.0727,0.0578,0.093
16.658570,-0.0159,-0.0394,0.0336,0.054
16.661856,-0.0299,-0.0586,0.0048,0.066
16.667078,-0.0369,-0.0848,0.0190,0.094
16.672308,-0.0322,-0.0442,0.0426,0.069
16.677633,-0.0348,-0.0514,0.0732,0.096
16.681250,-0.0281,-0.0302,0.0869,0.096
16.687315,-0.0335,-0.0144,0.1195,0.125
16.692997,-0.0176,-0.0347,0.1566,0.161
16.696296,-0.0282,-0.0102,0.1483,0.151
16.701165,-0.0531,-0.0387,0.0831,0.106
16.706071,-0.0185,0.0017,0.0517,0.055
16.710716,-0.0127,0.0415,0.0087,0.044
16.716767,-0.0164,0.0594,-0.0268,0.067
16.721187,-0.0056,0.0677,-0.1024,0.123
16.725691,-0.0446,0.0834,-0.1607,0.187
16.729968,-0.0330,0.0733,-0.1783,0.196
16.736770,0.0217,0.0852,-0.2195,0.236
16.744887,0.0597,0.0783,-0.2200,0.241
16.745436,0.1097,0.0602,-0.2301,0.262
16.750175,0.1048,0.0711,-0.2543,0.284
16.755890,0.0832,0.0944,-0.2167,0.251
16.767134,0.0403,0.0702,-0.1793,0.197
16.768139,0.0283,0.0630,-0.1066,0.127
16.770680,0.0209,0.0652,-0.0155,0.070
16.784029,0.0062,0.0555,-0.0011,0.056
16.785072,0.0438,0.0222,0.0701,0.086
16.785635,0.0406,0.0293,0.0862,0.100
16.789342,0.0090,0.0456,0.1425,0.150
16.795341,0.0226,0.0044,0.1152,0.118
16.799798,-0.0208,0.0012,0.1238,0.126
16.804411,0.0191,0.0119,0.1158,0.118
16.809817,0.0061,0.0198,0.1339,0.135
16.815257,-0.0311,0.0583,0.1187,0.136
16.819579,-0.0914,0.0369,0.0442,0.108
16.826641,-0.1079,0.0373,-0.0344,0.119
16.828304,-0.0409,-0.0239,-0.0198,0.051
16.835478,0.0091,-0.0110,-0.0172,0.022
16.838628,-0.0101,-0.0171,-0.0407,0.045
16.844252,-0.0242,-0.0204,-0.0641,0.072
16.849243,-0.0162,-0.0186,-0.1135,0.116
16.854359,-0.0175,0.0048,-0.1173,0.119
16.865121,-0.0066,-0.0001,-0.1188,0.119
16.866205,-0.0075,-0.0096,-0.0823,0.083
16.870577,-0.0134,-0.0069,-0.0604,0.062
16.883926,-0.0217,0.0006,-0.0220,0.031
16.884985,-0.0208,0.0077,0.0138,0.026
16.885629,-0.0462,-0.0353,0.0041,0.058
16.888216,-0.0194,-0.0236,0.0207,0.037
16.894587,-0.0238,-0.0123,0.0229,0.035
16.899477,0.0000,0.0011,-0.0034,0.004
16.906174,0.0234,-0.0167,-0.0318,0.043
16.915466,0.0061,-0.0106,-0.0789,0.080
16.916503,-0.0014,0.0170,-0.1067,0.108
16.918215,0.0011,0.0091,-0.1533,0.154
16.923724,0.0205,-0.0007,-0.1212,0.123
16.928068,0.0210,0.0183,-0.0561,0.063
16.934063,0.0189,0.0112,0.0013,0.022
16.937753,0.0405,0.0158,0.0345,0.055
16.942156,0.0591,0.0108,0.0437,0.074
16.949042,0.0440,-0.0132,0.0576,0.074
16.953776,0.0288,-0.0133,0.0406,0.052
16.965492,0.0186,-0.0062,0.0213,0.029
16.966860,-0.0289,-0.0393,-0.0383,0.062
16.967411,-0.0374,-0.0266,-0.0713,0.085
16.975187,-0.0286,-0.0161,-0.0566,0.065
16.980945,0.0209,-0.0078,0.0126,0.026
16.981994,0.0298,-0.0069,0.0883,0.093
16.987203,0.0008,0.0008,0.1135,0.114
16.992838,-0.0185,0.0034,0.1005,0.102
16.998223,-0.0258,-0.0084,0.0734,0.078
17.002925,-0.0047,0.0011,0.0608,0.061
17.006653,-0.0006,-0.0251,0.0317,0.040
17.012217,0.0034,-0.0036,-0.0233,0.024
17.017074,0.0048,-0.0011,-0.0185,0.019
17.025277,-0.0082,-0.0220,-0.0422,0.048
17.026300,-0.0021,-0.0071,-0.0490,0.050
17.031769,-0.0176,-0.0301,-0.0036,0.035
17.040358,0.0071,0.0039,0.0628,0.063
17.041337,0.0029,-0.0195,0.1287,0.130
17.048191,0.0149,-0.0312,0.1324,0.137
17.050991,0.0052,-0.0122,0.1147,0.115
17.059116,0.0070,-0.0053,0.0924,0.093
17.059909,0.0324,-0.0223,0.0299,0.049
17.066517,0.0502,-0.0270,-0.0082,0.058
17.071713,0.0490,-0.0335,-0.0342,0.069
17.075838,0.0267,0.0006,-0.0458,0.053
17.080661,0.0144,-0.0198,-0.0240,0.034
17.085557,0.0050,-0.0064,-0.0001,0.008
17.091153,0.0031,0.0117,0.0401,0.042
17.095702,-0.0059,-0.0036,0.0896,0.090
17.100737,-0.0195,-0.0262,0.1291,0.133
17.105617,-0.0046,-0.0180,0.1802,0.181
17.109523,-0.0801,0.0017,0.1692,0.187
17.115219,-0.0720,-0.0266,0.1464,0.165
17.121856,-0.0663,-0.0311,0.1855,0.199
17.124379,-0.0465,-0.0289,0.2006,0.208
17.130023,-0.0224,-0.0652,0.1823,0.195
17.138692,-0.0104,-0.0327,0.1500,0.154
17.140160,-0.0083,-0.0435,0.1060,0.115
17.144982,-0.0158,-0.0283,0.0601,0.068
17.149804,-0.0259,-0.0181,0.0146,0.035
17.161211,0.0162,-0.0246,-0.0471,0.056
17.162265,0.0009,-0.0190,-0.0633,0.066
17.164118,0.0189,0.0032,-0.0792,0.082
17.184251,0.0274,0.0277,-0.1165,0.123
17.186522,0.0431,0.0263,-0.1558,0.164
17.187308,0.0493,0.0396,-0.1520,0.165
17.188404,0.0200,0.0438,-0.1602,0.167
17.189760,-0.0348,0.0366,-0.1423,0.151
17.197479,-0.0059,0.0179,-0.1221,0.124
17.199248,-0.0245,0.0211,-0.0476,0.058
17.209967,-0.0026,0.0076,-0.0520,0.053
17.210601,-0.0045,-0.0036,-0.0160,0.017
17.213544,0.0150,-0.0125,-0.0016,0.020
17.220908,0.0176,-0.0048,-0.0207,0.028
17.223421,0.0462,0.0075,-0.0609,0.077
17.228458,0.0436,0.0243,-0.0723,0.088
17.233895,0.0288,0.0032,-0.0764,0.082
17.242286,0.0187,-0.0011,-0.0805,0.083
17.244562,0.0206,0.0160,-0.0489,0.055
17.248904,0.0367,-0.0028,-0.0295,0.047
17.263456,0.0573,0.0047,-0.0008,0.058
17.264320,0.0541,-0.0189,0.0491,0.075
17.265017,0.0225,-0.0068,0.0630,0.067
17.274494,0.0222,0.0265,0.0743,0.082
17.275265,0.0102,0.0333,0.0785,0.086
17.278770,0.0007,0.0258,0.0612,0.066
17.283265,-0.0181,0.0018,0.0464,0.050
17.288205,-0.0413,0.0326,0.0412,0.067
17.292850,-0.0216,0.0229,0.0527,0.061
17.301301,-0.0164,0.0059,0.0428,0.046
17.304404,-0.0375,-0.0014,0.0543,0.066
17.307025,-0.0371,0.0150,0.0182,0.044
17.313335,-0.0414,0.0054,0.0181,0.045
17.317638,-0.0644,-0.0160,-0.0391,0.077
17.322264,-0.0181,-0.0346,-0.0293,0.049
17.327524,0.0137,-0.0126,0.0017,0.019
17.332127,0.0214,0.0046,0.0016,0.022
17.337286,0.0219,0.0262,0.0372,0.051
17.342356,0.0078,0.0119,0.0701,0.072
17.346492,0.0243,0.0116,0.1099,0.113
17.360103,-0.0001,0.0418,0.1066,0.115
17.361159,0.0063,0.0572,0.0749,0.095
17.361804,0.0198,0.0319,0.0554,0.067
17.382330,0.0354,0.0351,0.0242,0.055
17.383423,0.0487,0.0192,-0.0424,0.067
17.383931,0.0192,0.0154,-0.0871,0.091
17.389685,0.0043,-0.0000,-0.1528,0.153
17.390186,0.0206,-0.0435,-0.1823,0.189
17.390546,0.0440,-0.0247,-0.1879,0.195
17.396646,0.0530,-0.0483,-0.1982,0.211
17.401923,0.0097,-0.0145,-0.1799,0.181
17.406266,0.0355,-0.0068,-0.1357,0.140
17.410086,0.0423,-0.0108,-0.1037,0.113
17.414953,0.0016,0.0020,-0.0388,0.039
17.422305,0.0349,-0.0258,0.0019,0.043
17.425264,0.0086,-0.0154,0.0161,0.024
17.431090,-0.0267,-0.0124,0.0515,0.059
17.443605,-0.0071,-0.0049,0.0891,0.089
17.444665,0.0053,-0.0142,0.0764,0.078
17.450083,-0.0134,0.0145,0.0710,0.074
17.451247,-0.0274,0.0239,0.0561,0.067
17.459909,-0.0201,0.0284,0.0818,0.089
17.460960,-0.0321,0.0019,0.0835,0.090
17.468428,0.0056,0.0064,0.0710,0.072
17.469239,-0.0141,-0.0107,0.0349,0.039
17.474679,-0.0170,-0.0087,0.0085,0.021
17.480070,-0.0077,-0.0112,-0.0200,0.024
17.485188,-0.0102,-0.0018,-0.0246,0.027
17.490012,-0.0290,0.0099,-0.0410,0.051
17.494381,-0.0262,0.0097,-0.0240,0.037
17.500150,-0.0188,0.0025,-0.0595,0.062
17.505602,-0.0304,0.0072,-0.0424,0.053
17.509326,-0.0255,0.0049,-0.0800,0.084
17.519347,-0.0158,0.0146,-0.0936,0.096
17.520939,-0.0038,0.0006,-0.0833,0.083
17.524786,0.0128,0.0010,-0.0446,0.046
17.529669,-0.0158,0.0158,-0.0514,0.056
