time,wx (rad/s),wy (rad/s),wz (rad/s)
27.352962,0.73,0.04,1.49
27.353368,0.73,0.03,1.51
27.356137,0.73,0.03,1.52
27.360674,0.73,0.02,1.54
27.361563,0.73,0.02,1.56
27.361991,0.73,0.02,1.58
27.372070,0.73,0.01,1.59
27.373322,0.73,0.01,1.61
27.373826,0.73,0.00,1.62
27.374334,0.74,-0.00,1.64
27.375116,0.74,-0.02,1.66
27.377535,0.75,-0.03,1.67
27.381177,0.76,-0.04,1.69
27.382353,0.77,-0.05,1.71
27.385096,0.78,-0.06,1.72
27.388173,0.79,-0.07,1.74
27.390241,0.80,-0.08,1.75
27.393069,0.80,-0.09,1.77
27.395224,0.81,-0.09,1.79
27.397371,0.82,-0.09,1.80
27.400252,0.82,-0.09,1.82
27.402290,0.83,-0.10,1.83
27.404883,0.84,-0.10,1.85
27.407122,0.84,-0.11,1.87
27.410854,0.85,-0.10,1.89
27.411826,0.86,-0.10,1.91
27.414316,0.86,-0.10,1.92
27.417357,0.87,-0.10,1.94
27.419137,0.87,-0.09,1.96
27.421730,0.88,-0.08,1.97
27.424472,0.88,-0.07,1.98
27.427472,0.88,-0.06,2.00
27.429575,0.88,-0.05,2.01
27.431316,0.88,-0.03,2.02
27.434102,0.87,-0.01,2.03
27.436426,0.87,0.01,2.04
27.439536,0.85,0.03,2.05
27.442372,0.84,0.06,2.06
27.445429,0.83,0.08,2.07
27.446852,0.81,0.10,2.08
27.450625,0.79,0.13,2.09
27.451977,0.77,0.15,2.10
27.453259,0.75,0.17,2.11
27.456493,0.73,0.19,2.13
27.466390,0.70,0.21,2.14
27.467526,0.67,0.23,2.16
27.468032,0.64,0.25,2.17
27.468547,0.61,0.27,2.19
27.468933,0.58,0.29,2.20
27.472570,0.55,0.30,2.22
27.476692,0.51,0.32,2.23
27.477768,0.47,0.34,2.25
27.478105,0.43,0.37,2.26
27.488224,0.39,0.40,2.28
27.489327,0.35,0.42,2.30
27.489707,0.30,0.46,2.31
27.490041,0.25,0.49,2.33
27.491927,0.21,0.53,2.35
27.497890,0.16,0.57,2.37
27.498737,0.12,0.61,2.39
27.499043,0.07,0.65,2.41
27.501051,0.03,0.69,2.43
27.504104,-0.00,0.72,2.45
27.505640,-0.04,0.75,2.47
27.508862,-0.07,0.77,2.49
27.511031,-0.09,0.79,2.51
27.513896,-0.11,0.82,2.53
27.515760,-0.13,0.83,2.55
27.518088,-0.15,0.85,2.57
27.521352,-0.16,0.86,2.60
27.523785,-0.17,0.87,2.62
27.526512,-0.18,0.89,2.65
27.527790,-0.18,0.89,2.67
27.531275,-0.19,0.90,2.70
27.532113,-0.19,0.90,2.73
27.535639,-0.19,0.91,2.75
27.537670,-0.20,0.92,2.78
27.540490,-0.20,0.92,2.81
27.542668,-0.20,0.93,2.84
27.546094,-0.20,0.93,2.87
27.547585,-0.20,0.93,2.89
27.550281,-0.20,0.94,2.91
27.552849,-0.21,0.94,2.94
27.556532,-0.21,0.94,2.96
27.557328,-0.21,0.94,2.99
27.564449,-0.21,0.93,3.01
27.565633,-0.21,0.93,3.03
27.566142,-0.21,0.92,3.05
27.568655,-0.20,0.92,3.07
27.572509,-0.21,0.91,3.09
27.573062,-0.20,0.90,3.11
27.574779,-0.20,0.90,3.13
27.583603,-0.19,0.89,3.15
27.584510,-0.19,0.88,3.17
27.584858,-0.18,0.88,3.18
27.585182,-0.18,0.87,3.20
27.587180,-0.17,0.86,3.22
27.589324,-0.17,0.86,3.24
27.594199,-0.16,0.85,3.25
27.595254,-0.16,0.85,3.27
27.596613,-0.15,0.85,3.28
27.599764,-0.14,0.85,3.29
27.602420,-0.13,0.85,3.31
27.604696,-0.12,0.84,3.33
27.606364,-0.11,0.84,3.34
27.609189,-0.10,0.84,3.35
27.611837,-0.09,0.83,3.36
27.614417,-0.09,0.83,3.38
27.618399,-0.08,0.82,3.39
27.619064,-0.06,0.81,3.40
27.622142,-0.06,0.80,3.40
27.624118,-0.05,0.79,3.41
27.627319,-0.04,0.78,3.42
27.628815,-0.03,0.77,3.43
27.631465,-0.02,0.77,3.44
27.633899,-0.01,0.76,3.44
27.636250,-0.00,0.75,3.45
27.638943,0.01,0.74,3.45
27.642048,0.01,0.74,3.45
27.643635,0.02,0.73,3.46
27.645961,0.03,0.72,3.46
27.648471,0.03,0.72,3.47
27.651701,0.04,0.72,3.47
27.653597,0.05,0.71,3.47
27.663380,0.05,0.71,3.47
27.664635,0.06,0.71,3.48
27.665171,0.06,0.70,3.48
27.665571,0.07,0.70,3.48
27.665952,0.07,0.70,3.48
27.672719,0.07,0.70,3.47
27.673534,0.07,0.70,3.47
27.674035,0.08,0.70,3.47
27.686154,0.08,0.70,3.46
27.687228,0.08,0.70,3.46
27.687690,0.08,0.69,3.46
27.688050,0.08,0.69,3.45
27.688457,0.09,0.69,3.45
27.688786,0.09,0.69,3.44
27.693523,0.09,0.69,3.44
27.694699,0.10,0.68,3.44
27.695877,0.10,0.68,3.43
27.697440,0.11,0.67,3.43
27.701742,0.12,0.67,3.42
27.702556,0.12,0.67,3.41
27.706163,0.12,0.66,3.41
27.708380,0.13,0.66,3.40
27.711018,0.13,0.65,3.40
27.712833,0.14,0.65,3.39
27.715763,0.14,0.65,3.38
27.718157,0.14,0.65,3.38
27.719581,0.14,0.65,3.37
27.723309,0.14,0.65,3.37
27.724426,0.14,0.65,3.36
27.726805,0.14,0.65,3.35
27.729784,0.14,0.65,3.35
27.732392,0.14,0.66,3.34
27.734516,0.13,0.66,3.34
27.737885,0.13,0.67,3.33
27.739232,0.12,0.67,3.33
27.742363,0.12,0.68,3.32
27.744975,0.12,0.69,3.32
27.747227,0.11,0.70,3.31
27.749283,0.10,0.71,3.30
27.752217,0.09,0.72,3.29
27.754552,0.09,0.73,3.29
27.761503,0.08,0.74,3.28
27.762525,0.07,0.75,3.28
27.762989,0.07,0.76,3.27
27.764528,0.06,0.78,3.26
27.768531,0.05,0.78,3.25
27.771389,0.05,0.79,3.24
27.772065,0.04,0.79,3.24
27.784262,0.04,0.79,3.23
27.785158,0.03,0.79,3.22
27.785484,0.03,0.79,3.22
27.785797,0.02,0.79,3.21
27.786102,0.02,0.78,3.20
27.786386,0.01,0.78,3.20
27.790421,0.01,0.78,3.19
27.791624,0.01,0.77,3.19
27.793834,0.01,0.77,3.18
27.796990,0.01,0.76,3.18
27.799453,0.00,0.76,3.18
27.802735,-0.00,0.75,3.17
27.805359,-0.00,0.75,3.17
27.807686,-0.00,0.74,3.17
27.809396,-0.01,0.73,3.17
27.811201,-0.01,0.73,3.17
27.814125,-0.00,0.73,3.17
27.816272,-0.00,0.72,3.17
27.819317,-0.01,0.72,3.17
27.821194,-0.01,0.71,3.17
27.823539,-0.01,0.71,3.17
27.826468,-0.01,0.71,3.17
27.829253,-0.01,0.71,3.17
27.831028,-0.01,0.70,3.16
27.833478,-0.01,0.70,3.16
27.836418,-0.01,0.70,3.15
27.840036,-0.01,0.69,3.14
27.841628,-0.02,0.69,3.14
27.843764,-0.02,0.69,3.13
27.846062,-0.02,0.68,3.12
27.848198,-0.02,0.68,3.12
27.850555,-0.02,0.68,3.11
27.854402,-0.01,0.67,3.10
27.867112,-0.01,0.67,3.09
27.868437,-0.01,0.66,3.09
27.868962,-0.00,0.66,3.08
27.869359,0.00,0.65,3.08
27.869743,0.01,0.65,3.07
27.870123,0.02,0.64,3.07
27.889955,0.02,0.64,3.06
27.890958,0.03,0.63,3.06
27.891400,0.03,0.63,3.05
27.891773,0.04,0.62,3.04
27.892077,0.04,0.61,3.04
27.892470,0.04,0.61,3.03
27.892807,0.04,0.60,3.03
27.893111,0.05,0.60,3.02
27.893570,0.05,0.60,3.02
27.893918,0.05,0.59,3.01
27.895993,0.05,0.59,3.01
27.898122,0.04,0.59,3.00
27.900363,0.03,0.58,3.00
27.902301,0.02,0.58,2.99
27.904935,0.02,0.58,2.98
27.906843,0.01,0.58,2.97
27.909648,-0.00,0.58,2.97
27.912874,-0.01,0.58,2.96
27.914604,-0.03,0.58,2.95
27.917946,-0.04,0.58,2.93
27.919561,-0.05,0.58,2.92
27.922552,-0.07,0.58,2.92
27.924401,-0.08,0.58,2.91
27.926340,-0.09,0.58,2.90
27.929516,-0.11,0.58,2.90
27.931478,-0.12,0.58,2.89
27.934169,-0.13,0.58,2.88
27.943236,-0.14,0.57,2.88
27.944500,-0.15,0.58,2.87
27.945166,-0.15,0.57,2.86
27.945619,-0.16,0.57,2.86
27.946514,-0.17,0.57,2.85
27.949244,-0.17,0.57,2.84
27.952583,-0.18,0.57,2.84
27.964747,-0.19,0.57,2.83
27.965578,-0.19,0.56,2.82
27.965856,-0.20,0.56,2.81
27.966108,-0.20,0.56,2.80
27.966347,-0.21,0.56,2.79
27.966587,-0.21,0.56,2.78
27.970780,-0.22,0.55,2.76
27.971319,-0.22,0.55,2.75
27.974747,-0.22,0.55,2.74
27.975992,-0.22,0.55,2.73
27.979078,-0.22,0.54,2.72
27.981635,-0.21,0.54,2.71
27.984379,-0.21,0.54,2.71
27.986939,-0.21,0.53,2.70
27.988659,-0.20,0.53,2.69
27.990902,-0.19,0.53,2.68
27.993296,-0.19,0.52,2.68
27.996758,-0.18,0.52,2.67
27.998566,-0.17,0.51,2.66
28.001712,-0.16,0.51,2.65
28.004012,-0.15,0.50,2.64
28.005908,-0.14,0.50,2.63
28.008443,-0.14,0.49,2.62
28.010439,-0.12,0.48,2.61
28.013664,-0.11,0.47,2.59
28.015984,-0.10,0.47,2.58
28.020757,-0.08,0.46,2.56
28.021905,-0.06,0.45,2.54
28.023101,-0.04,0.44,2.53
28.025683,-0.02,0.43,2.51
28.028082,0.01,0.42,2.49
28.030815,0.03,0.41,2.47
28.032472,0.05,0.40,2.45
28.037182,0.08,0.39,2.43
28.038010,0.10,0.38,2.41
28.040067,0.13,0.38,2.39
28.043930,0.15,0.37,2.37
28.045300,0.17,0.36,2.35
28.049237,0.19,0.36,2.33
28.058807,0.21,0.36,2.31
28.060107,0.23,0.36,2.29
28.060663,0.24,0.36,2.28
28.061075,0.25,0.35,2.26
28.061459,0.26,0.35,2.24
28.064161,0.27,0.35,2.22
28.068657,0.28,0.35,2.20
28.069356,0.28,0.35,2.18
28.071473,0.28,0.36,2.17
28.083009,0.28,0.36,2.15
28.083857,0.28,0.36,2.13
28.084222,0.28,0.37,2.12
28.084619,0.27,0.37,2.10
28.085389,0.27,0.38,2.08
28.085795,0.26,0.38,2.06
28.086887,0.26,0.38,2.04
28.089656,0.25,0.39,2.03
28.092415,0.25,0.39,2.01
28.094460,0.25,0.39,1.99
28.096918,0.25,0.39,1.97
28.099602,0.25,0.39,1.95
28.103327,0.25,0.38,1.93
28.105869,0.25,0.38,1.91
28.106501,0.26,0.38,1.89
28.109959,0.26,0.37,1.87
28.112194,0.26,0.36,1.85
28.114167,0.26,0.36,1.83
28.116680,0.26,0.35,1.81
28.121395,0.27,0.34,1.78
28.123454,0.27,0.33,1.76
28.124051,0.27,0.32,1.74
28.126856,0.28,0.31,1.72
28.129734,0.28,0.31,1.70
28.131728,0.28,0.30,1.68
28.135747,0.28,0.29,1.66
28.137227,0.28,0.28,1.64
28.139091,0.28,0.27,1.62
28.142310,0.28,0.27,1.60
28.144242,0.28,0.26,1.58
28.146727,0.28,0.26,1.56
28.148899,0.27,0.26,1.53
28.157528,0.27,0.26,1.51
28.158849,0.26,0.26,1.48
28.159302,0.25,0.25,1.46
28.159689,0.25,0.25,1.44
28.164613,0.24,0.25,1.42
28.165365,0.23,0.26,1.39
28.168666,0.22,0.26,1.37
28.169460,0.22,0.26,1.35
28.185007,0.21,0.26,1.32
28.186085,0.20,0.26,1.30
28.186414,0.19,0.27,1.28
28.186701,0.18,0.27,1.26
28.186989,0.17,0.27,1.24
28.187271,0.16,0.28,1.23
28.187541,0.14,0.28,1.21
28.187811,0.13,0.28,1.19
28.191398,0.11,0.29,1.17
28.194899,0.09,0.29,1.16
28.195492,0.07,0.29,1.14
28.199613,0.05,0.30,1.13
28.202549,0.02,0.30,1.11
28.203833,-0.00,0.31,1.09
28.206312,-0.03,0.31,1.08
28.207845,-0.05,0.32,1.06
28.210911,-0.08,0.33,1.05
28.214362,-0.10,0.33,1.03
28.218351,-0.13,0.34,1.02
28.219558,-0.15,0.34,1.01
28.221225,-0.18,0.35,1.00
28.223012,-0.20,0.35,1.00
28.225948,-0.22,0.35,0.99
28.227792,-0.24,0.36,0.99
28.230227,-0.26,0.36,0.98
28.234641,-0.27,0.36,0.98
28.235799,-0.28,0.35,0.97
28.237478,-0.30,0.35,0.96
28.241769,-0.31,0.35,0.95
28.242506,-0.32,0.35,0.94
28.245033,-0.33,0.35,0.93
28.248219,-0.34,0.35,0.92
28.255164,-0.36,0.36,0.91
28.256240,-0.36,0.36,0.90
28.256853,-0.38,0.36,0.88
28.260581,-0.39,0.37,0.87
28.261284,-0.40,0.37,0.86
28.264567,-0.41,0.38,0.84
28.265193,-0.41,0.39,0.83
28.280744,-0.42,0.40,0.82
28.281774,-0.43,0.42,0.81
28.282210,-0.43,0.42,0.80
28.282562,-0.44,0.44,0.79
28.282867,-0.44,0.45,0.79
28.283152,-0.43,0.46,0.78
28.283440,-0.43,0.47,0.78
28.285120,-0.42,0.47,0.77
28.286816,-0.41,0.48,0.77
28.290533,-0.39,0.48,0.77
28.292034,-0.38,0.48,0.76
28.293649,-0.36,0.47,0.77
28.297819,-0.34,0.47,0.77
28.298438,-0.31,0.46,0.77
28.302634,-0.28,0.44,0.78
28.303752,-0.25,0.42,0.79
28.306939,-0.21,0.40,0.80
28.309434,-0.16,0.38,0.81
28.311544,-0.12,0.36,0.82
28.314892,-0.07,0.33,0.83
28.319089,-0.03,0.30,0.85
28.320413,0.01,0.27,0.86
28.321251,0.05,0.25,0.86
28.323982,0.09,0.22,0.87
28.326295,0.12,0.19,0.88
28.329318,0.15,0.17,0.88
28.333403,0.18,0.15,0.88
28.334632,0.19,0.13,0.88
28.336250,0.21,0.11,0.88
28.338403,0.22,0.10,0.87
28.341311,0.23,0.09,0.87
28.343194,0.23,0.08,0.86
28.346021,0.22,0.07,0.86
28.354770,0.22,0.07,0.85
28.355945,0.21,0.07,0.84
28.356492,0.20,0.06,0.83
28.356900,0.19,0.06,0.83
28.360568,0.17,0.06,0.82
28.361245,0.15,0.06,0.81
28.364615,0.13,0.07,0.80
28.380161,0.12,0.07,0.79
28.381451,0.09,0.07,0.78
28.381962,0.07,0.07,0.77
28.382415,0.05,0.08,0.76
28.382838,0.03,0.08,0.75
28.383223,0.01,0.09,0.74
28.383609,-0.00,0.09,0.74
28.383974,-0.02,0.09,0.73
28.385240,-0.03,0.09,0.72
28.389122,-0.05,0.10,0.71
28.389843,-0.06,0.09,0.70
28.393644,-0.07,0.09,0.69
28.396734,-0.08,0.09,0.69
28.399422,-0.09,0.09,0.68
28.400653,-0.09,0.09,0.67
28.404401,-0.09,0.09,0.66
28.405143,-0.10,0.09,0.65
28.408053,-0.10,0.09,0.64
28.410861,-0.11,0.09,0.63
28.413330,-0.11,0.09,0.63
28.415912,-0.11,0.09,0.62
28.417640,-0.11,0.08,0.61
28.420589,-0.11,0.08,0.60
28.422792,-0.11,0.08,0.59
28.425037,-0.10,0.08,0.59
28.427700,-0.10,0.08,0.58
28.429939,-0.10,0.09,0.57
28.431899,-0.10,0.09,0.56
28.435724,-0.11,0.09,0.55
28.437427,-0.11,0.10,0.54
28.439178,-0.11,0.11,0.53
28.441270,-0.12,0.11,0.52
28.443805,-0.12,0.12,0.51
28.446236,-0.13,0.12,0.50
28.451681,-0.14,0.13,0.49
28.452458,-0.15,0.13,0.48
28.453953,-0.15,0.14,0.47
28.457570,-0.16,0.14,0.46
28.458827,-0.16,0.14,0.45
28.461277,-0.17,0.15,0.45
28.468787,-0.17,0.15,0.44
28.469777,-0.17,0.14,0.43
28.470269,-0.17,0.14,0.43
28.470662,-0.16,0.14,0.42
28.476715,-0.16,0.13,0.42
28.477474,-0.15,0.13,0.41
28.481849,-0.14,0.13,0.41
28.482607,-0.13,0.12,0.40
28.490937,-0.12,0.12,0.40
28.491840,-0.11,0.12,0.40
28.492216,-0.09,0.11,0.39
28.492650,-0.08,0.11,0.39
28.493309,-0.07,0.11,0.39
28.497778,-0.05,0.10,0.38
28.498545,-0.04,0.10,0.38
28.501979,-0.03,0.10,0.38
28.503384,-0.01,0.10,0.38
28.507039,-0.00,0.09,0.38
28.509077,0.01,0.09,0.38
28.511877,0.02,0.09,0.38
28.513860,0.03,0.10,0.38
28.515802,0.04,0.10,0.38
28.518489,0.05,0.10,0.38
28.521160,0.06,0.10,0.38
28.523296,0.07,0.10,0.38
28.525970,0.07,0.10,0.38
28.528111,0.07,0.10,0.38
28.530567,0.07,0.11,0.38
28.534592,0.07,0.10,0.38
28.535877,0.07,0.10,0.38
28.538428,0.06,0.10,0.38
28.540895,0.06,0.10,0.38
28.543894,0.06,0.10,0.38
28.545940,0.05,0.09,0.37
28.553608,0.05,0.09,0.37
28.554829,0.05,0.09,0.37
28.555284,0.04,0.09,0.37
28.555662,0.04,0.09,0.37
28.558653,0.03,0.09,0.37
28.560544,0.03,0.09,0.37
28.565389,0.02,0.09,0.37
28.566340,0.02,0.09,0.37
28.579241,0.02,0.09,0.37
28.580218,0.01,0.09,0.36
28.580745,0.01,0.09,0.36
28.581382,0.00,0.09,0.36
28.581844,-0.00,0.08,0.36
28.582284,-0.01,0.08,0.36
28.582703,-0.02,0.08,0.35
28.585459,-0.03,0.08,0.35
28.587745,-0.04,0.08,0.35
28.590537,-0.04,0.08,0.35
28.592864,-0.05,0.08,0.34
28.596729,-0.06,0.09,0.34
28.598008,-0.07,0.09,0.34
28.600512,-0.07,0.09,0.34
28.602152,-0.07,0.09,0.34
28.605347,-0.07,0.09,0.34
28.607321,-0.07,0.09,0.34
28.610908,-0.06,0.09,0.34
28.613716,-0.06,0.09,0.34
28.615249,-0.06,0.09,0.34
28.617790,-0.05,0.09,0.34
28.619158,-0.04,0.09,0.33
28.622201,-0.04,0.08,0.33
28.625050,-0.03,0.08,0.33
28.627229,-0.02,0.08,0.33
28.629813,-0.01,0.08,0.32
28.632732,-0.01,0.08,0.32
28.634765,-0.00,0.08,0.32
28.637467,-0.00,0.07,0.31
28.639831,0.00,0.07,0.31
28.643183,0.00,0.07,0.30
28.645858,-0.00,0.07,0.29
28.646999,-0.01,0.06,0.29
28.649073,-0.02,0.06,0.28
28.652475,-0.03,0.06,0.27
28.654272,-0.04,0.06,0.26
28.656939,-0.06,0.05,0.25
28.658497,-0.07,0.05,0.24
28.667622,-0.09,0.05,0.23
28.668950,-0.11,0.06,0.22
28.669511,-0.13,0.06,0.21
28.669919,-0.15,0.06,0.21
28.670567,-0.16,0.07,0.20
28.676676,-0.18,0.07,0.19
28.677257,-0.19,0.07,0.18
28.688786,-0.20,0.07,0.18
28.689598,-0.20,0.06,0.17
28.689880,-0.21,0.05,0.17
28.690139,-0.21,0.04,0.17
28.690383,-0.21,0.03,0.16
28.690620,-0.20,0.02,0.16
28.695938,-0.20,0.00,0.16
28.697344,-0.19,-0.01,0.16
28.697906,-0.18,-0.02,0.16
28.700786,-0.16,-0.03,0.16
28.704999,-0.15,-0.04,0.16
28.705532,-0.14,-0.05,0.16
28.709986,-0.12,-0.06,0.16
28.710589,-0.11,-0.07,0.16
28.713517,-0.09,-0.07,0.17
28.716569,-0.07,-0.08,0.17
28.717899,-0.06,-0.08,0.17
28.720835,-0.04,-0.08,0.17
28.723643,-0.02,-0.09,0.18
28.725931,0.01,-0.09,0.18
28.728623,0.03,-0.09,0.18
28.730250,0.05,-0.09,0.18
28.732917,0.07,-0.09,0.18
28.736431,0.09,-0.09,0.18
28.738625,0.12,-0.09,0.18
28.740087,0.13,-0.09,0.18
28.746219,0.16,-0.08,0.18
28.747048,0.17,-0.08,0.18
28.747458,0.19,-0.07,0.18
28.751005,0.20,-0.07,0.18
28.752946,0.21,-0.06,0.19
28.755460,0.23,-0.05,0.19
28.759646,0.23,-0.04,0.18
28.760451,0.24,-0.04,0.18
28.768084,0.24,-0.03,0.18
28.769360,0.24,-0.02,0.18
28.769844,0.24,-0.01,0.18
28.770245,0.23,-0.01,0.18
28.773218,0.23,-0.00,0.18
28.776807,0.22,0.00,0.18
28.788786,0.21,0.01,0.17
28.789556,0.20,0.01,0.17
28.789834,0.19,0.01,0.17
28.790076,0.17,0.01,0.17
28.790311,0.15,0.02,0.16
28.790552,0.14,0.02,0.17
28.795093,0.12,0.03,0.16
28.795877,0.10,0.04,0.16
28.798370,0.09,0.04,0.16
28.799515,0.07,0.05,0.16
28.802475,0.05,0.05,0.16
28.804896,0.03,0.05,0.16
28.807510,0.02,0.06,0.16
28.809654,0.00,0.06,0.16
28.811847,-0.01,0.06,0.16
28.815040,-0.03,0.06,0.16
28.816641,-0.04,0.06,0.15
28.819364,-0.05,0.06,0.15
28.821525,-0.06,0.06,0.15
28.824728,-0.07,0.06,0.15
28.826656,-0.07,0.06,0.15
28.829192,-0.08,0.05,0.15
28.831524,-0.09,0.05,0.16
28.834651,-0.10,0.05,0.16
28.837071,-0.10,0.06,0.16
28.840204,-0.11,0.06,0.16
28.843775,-0.11,0.06,0.16
28.845381,-0.12,0.06,0.16
28.846121,-0.13,0.07,0.16
28.848902,-0.13,0.07,0.16
28.852004,-0.14,0.08,0.16
28.854081,-0.15,0.08,0.16
28.856800,-0.15,0.09,0.15
28.863962,-0.16,0.10,0.15
28.864874,-0.16,0.10,0.15
28.865286,-0.17,0.10,0.15
28.865641,-0.18,0.11,0.15
28.868580,-0.18,0.11,0.14
28.870888,-0.19,0.11,0.14
28.876887,-0.19,0.11,0.13
28.877747,-0.19,0.11,0.13
28.893995,-0.20,0.12,0.12
28.895281,-0.19,0.12,0.12
28.895757,-0.19,0.12,0.12
28.896185,-0.19,0.12,0.11
28.896740,-0.19,0.12,0.11
28.897113,-0.18,0.11,0.11
28.897509,-0.18,0.10,0.11
28.897915,-0.17,0.10,0.10
28.898403,-0.16,0.09,0.10
28.900766,-0.15,0.08,0.10
28.902958,-0.15,0.07,0.10
28.906165,-0.13,0.07,0.10
28.908425,-0.12,0.06,0.10
28.911045,-0.10,0.05,0.10
28.914468,-0.09,0.04,0.10
28.915705,-0.07,0.03,0.10
28.917797,-0.06,0.02,0.11
28.920689,-0.04,0.02,0.10
28.923094,-0.02,0.01,0.11
28.926432,0.00,-0.00,0.11
28.928015,0.02,-0.01,0.11
28.930507,0.05,-0.02,0.10
28.933001,0.07,-0.03,0.11
28.935202,0.09,-0.04,0.10
28.938820,0.11,-0.05,0.10
28.939864,0.13,-0.05,0.10
28.942532,0.15,-0.06,0.10
28.945131,0.16,-0.06,0.10
28.947339,0.17,-0.07,0.10
28.950335,0.18,-0.07,0.09
28.952710,0.19,-0.07,0.09
28.954951,0.20,-0.08,0.09
28.957431,0.20,-0.08,0.09
28.965339,0.20,-0.08,0.09
28.966534,0.20,-0.08,0.09
28.967069,0.19,-0.08,0.09
28.967609,0.19,-0.08,0.08
28.970006,0.18,-0.08,0.08
28.972009,0.17,-0.07,0.08
28.982769,0.17,-0.07,0.08
28.983767,0.16,-0.06,0.08
28.984194,0.14,-0.06,0.08
28.984680,0.13,-0.05,0.08
28.985135,0.12,-0.04,0.08
28.986787,0.10,-0.04,0.08
28.989773,0.08,-0.03,0.07
28.992715,0.07,-0.02,0.08
28.994895,0.05,-0.02,0.07
28.996213,0.03,-0.01,0.07
28.998774,0.01,0.00,0.07
29.002264,-0.01,0.01,0.06
29.004276,-0.02,0.02,0.06
29.006714,-0.04,0.03,0.06
29.009480,-0.06,0.05,0.06
29.011554,-0.07,0.06,0.05
29.013668,-0.09,0.07,0.05
29.016241,-0.10,0.08,0.05
29.018479,-0.11,0.09,0.05
29.021998,-0.12,0.10,0.04
29.023914,-0.13,0.11,0.04
29.026433,-0.14,0.12,0.04
29.028539,-0.15,0.13,0.05
29.031254,-0.15,0.14,0.05
29.033375,-0.15,0.15,0.05
29.035793,-0.15,0.16,0.05
29.038459,-0.15,0.16,0.06
29.040564,-0.14,0.16,0.06
29.043377,-0.14,0.16,0.07
29.045576,-0.13,0.16,0.07
29.048544,-0.12,0.16,0.08
29.051392,-0.11,0.15,0.09
29.053745,-0.10,0.15,0.09
29.055432,-0.09,0.14,0.10
29.068801,-0.08,0.14,0.10
29.069797,-0.07,0.13,0.11
29.070505,-0.06,0.12,0.11
29.070902,-0.05,0.11,0.12
29.071431,-0.04,0.09,0.13
29.071816,-0.03,0.09,0.13
29.083794,-0.02,0.07,0.14
29.084682,-0.01,0.06,0.15
29.085008,-0.00,0.05,0.15
29.085312,0.00,0.04,0.16
29.085605,0.01,0.03,0.17
29.085878,0.02,0.02,0.18
29.088578,0.03,0.01,0.18
29.092354,0.04,0.00,0.19
29.093185,0.05,-0.01,0.20
29.095584,0.06,-0.02,0.21
29.098213,0.06,-0.02,0.21
29.100713,0.07,-0.03,0.22
29.103031,0.07,-0.04,0.23
29.106404,0.08,-0.05,0.24
29.107255,0.08,-0.05,0.24
29.110104,0.08,-0.06,0.25
29.113288,0.08,-0.07,0.25
29.115554,0.08,-0.07,0.26
29.118216,0.08,-0.07,0.26
29.120113,0.07,-0.08,0.26
29.123221,0.07,-0.08,0.26
29.125994,0.06,-0.07,0.27
29.127503,0.05,-0.07,0.27
29.130146,0.05,-0.07,0.26
29.132623,0.03,-0.06,0.26
29.134771,0.03,-0.06,0.26
29.137895,0.02,-0.05,0.26
29.141577,0.01,-0.05,0.26
29.142774,-0.01,-0.04,0.26
29.144962,-0.02,-0.03,0.26
29.147532,-0.03,-0.03,0.25
29.150006,-0.05,-0.02,0.25
29.152697,-0.06,-0.01,0.25
29.155226,-0.08,-0.00,0.25
29.162942,-0.09,0.01,0.25
29.164137,-0.11,0.01,0.25
29.164701,-0.13,0.02,0.25
29.165101,-0.15,0.03,0.25
29.168101,-0.16,0.03,0.24
29.172629,-0.18,0.04,0.24
29.173558,-0.20,0.04,0.24
29.183152,-0.21,0.05,0.23
29.184169,-0.23,0.05,0.23
29.184662,-0.24,0.06,0.23
29.185046,-0.26,0.06,0.22
29.185356,-0.27,0.06,0.22
29.185916,-0.28,0.06,0.21
29.192428,-0.29,0.06,0.21
29.193629,-0.30,0.06,0.21
29.193956,-0.31,0.06,0.21
29.200378,-0.31,0.06,0.20
29.200953,-0.31,0.05,0.20
29.201191,-0.31,0.05,0.20
29.204036,-0.31,0.04,0.20
29.206673,-0.30,0.04,0.19
29.209805,-0.30,0.05,0.19
29.210956,-0.29,0.05,0.19
29.213981,-0.29,0.04,0.19
29.216707,-0.28,0.04,0.19
29.218936,-0.28,0.04,0.19
29.222574,-0.27,0.04,0.19
29.223678,-0.26,0.04,0.20
29.226379,-0.26,0.04,0.20
29.228595,-0.25,0.03,0.20
29.231042,-0.24,0.03,0.20
29.234052,-0.24,0.02,0.21
29.236356,-0.23,0.02,0.21
29.239400,-0.22,0.01,0.21
29.241806,-0.21,0.00,0.21
29.242577,-0.20,-0.00,0.21
29.246128,-0.19,-0.01,0.22
29.248229,-0.18,-0.01,0.22
29.250934,-0.17,-0.02,0.22
29.253012,-0.17,-0.03,0.22
29.260675,-0.16,-0.04,0.23
29.262009,-0.15,-0.05,0.23
29.262511,-0.15,-0.06,0.23
29.262895,-0.14,-0.07,0.23
29.268730,-0.13,-0.08,0.23
29.284900,-0.13,-0.08,0.24
29.286039,-0.12,-0.09,0.24
29.286461,-0.12,-0.10,0.24
29.286927,-0.11,-0.11,0.25
29.287371,-0.10,-0.11,0.25
29.287704,-0.09,-0.12,0.25
29.287993,-0.09,-0.13,0.26
29.288386,-0.08,-0.13,0.26
29.288816,-0.07,-0.14,0.26
29.290152,-0.06,-0.15,0.27
29.292177,-0.06,-0.16,0.27
