time,wx (rad/s),wy (rad/s),wz (rad/s)
0.411293,0.13,-0.08,-0.00
0.413693,0.13,-0.07,-0.00
0.416275,0.12,-0.05,-0.00
0.418362,0.12,-0.04,-0.00
0.420518,0.11,-0.03,0.00
0.422877,0.11,-0.02,0.00
0.425557,0.10,-0.01,0.00
0.427438,0.09,0.00,0.00
0.429942,0.08,0.01,0.00
0.432867,0.08,0.02,-0.00
0.435611,0.08,0.03,-0.00
0.437632,0.07,0.04,-0.01
0.440702,0.07,0.04,-0.01
0.442608,0.07,0.04,-0.01
0.444096,0.07,0.04,-0.02
0.449334,0.07,0.04,-0.02
0.450646,0.08,0.04,-0.02
0.452551,0.08,0.03,-0.03
0.454890,0.09,0.02,-0.03
0.458010,0.09,0.01,-0.03
0.460248,0.10,0.00,-0.03
0.462261,0.10,-0.01,-0.03
0.465481,0.10,-0.01,-0.03
0.467758,0.10,-0.02,-0.04
0.469445,0.10,-0.04,-0.04
0.472737,0.10,-0.05,-0.04
0.474273,0.10,-0.07,-0.04
0.477914,0.09,-0.08,-0.05
0.487095,0.09,-0.09,-0.06
0.488372,0.08,-0.10,-0.06
0.489069,0.07,-0.12,-0.07
0.489665,0.06,-0.12,-0.08
0.490205,0.05,-0.12,-0.09
0.491936,0.04,-0.12,-0.09
0.494598,0.03,-0.12,-0.10
0.508936,0.03,-0.12,-0.10
0.509760,0.02,-0.12,-0.11
0.510096,0.02,-0.12,-0.11
0.510370,0.01,-0.12,-0.11
0.510687,0.01,-0.12,-0.10
0.510986,0.01,-0.11,-0.10
0.511494,0.01,-0.10,-0.10
0.516953,0.00,-0.09,-0.10
0.517808,0.00,-0.08,-0.09
0.518146,0.01,-0.06,-0.09
0.520708,0.01,-0.05,-0.09
0.523545,0.01,-0.04,-0.09
0.525811,0.02,-0.02,-0.08
0.528579,0.02,-0.02,-0.08
0.530372,0.02,-0.01,-0.08
0.532935,0.03,-0.01,-0.08
0.536239,0.03,-0.00,-0.08
0.538309,0.04,0.00,-0.08
0.540855,0.05,0.01,-0.08
0.544035,0.06,0.00,-0.08
0.547078,0.06,-0.00,-0.07
0.548439,0.07,-0.01,-0.06
0.550749,0.07,-0.03,-0.06
0.553987,0.08,-0.04,-0.05
0.555783,0.08,-0.05,-0.05
0.558503,0.08,-0.06,-0.04
0.561428,0.08,-0.07,-0.03
0.563884,0.08,-0.08,-0.02
0.566077,0.07,-0.08,-0.02
0.568042,0.07,-0.10,-0.02
0.571218,0.06,-0.11,-0.01
0.573799,0.06,-0.12,-0.00
0.575938,0.05,-0.13,0.00
0.578084,0.04,-0.13,0.01
0.585977,0.03,-0.14,0.01
0.587261,0.02,-0.15,0.02
0.587819,0.00,-0.15,0.02
0.588228,-0.00,-0.15,0.02
0.591487,-0.01,-0.14,0.02
0.596721,-0.02,-0.13,0.03
0.597352,-0.03,-0.11,0.03
0.597662,-0.03,-0.09,0.03
0.609648,-0.04,-0.07,0.03
0.610724,-0.04,-0.05,0.03
0.611174,-0.04,-0.03,0.03
0.611522,-0.04,-0.01,0.03
0.611833,-0.03,0.01,0.02
0.612480,-0.02,0.02,0.02
0.617270,-0.02,0.03,0.02
0.618246,-0.01,0.04,0.01
0.619873,0.00,0.04,0.01
0.622284,0.02,0.04,0.01
0.624966,0.03,0.04,0.00
0.628846,0.05,0.04,-0.00
0.630218,0.06,0.04,-0.00
0.633412,0.08,0.04,-0.01
0.634877,0.10,0.04,-0.01
0.638614,0.12,0.04,-0.01
0.639199,0.13,0.04,-0.01
0.642591,0.15,0.04,-0.01
0.645892,0.16,0.04,-0.02
0.647077,0.18,0.04,-0.02
0.649964,0.19,0.04,-0.02
0.651829,0.20,0.04,-0.02
0.654659,0.21,0.04,-0.01
0.658299,0.21,0.04,-0.01
0.659701,0.22,0.04,-0.01
0.662997,0.22,0.04,-0.01
0.665116,0.22,0.05,-0.00
0.667103,0.22,0.06,0.00
0.669861,0.22,0.07,0.01
0.672025,0.21,0.08,0.01
0.674258,0.20,0.09,0.01
0.688817,0.19,0.09,0.01
0.693078,0.18,0.10,0.01
0.693702,0.16,0.10,0.01
0.694154,0.14,0.09,0.01
0.694536,0.12,0.09,0.00
0.694907,0.10,0.08,0.00
0.695291,0.07,0.08,-0.00
0.695678,0.05,0.08,-0.00
0.697458,0.03,0.08,-0.01
0.712403,0.01,0.09,-0.01
0.713459,-0.01,0.10,-0.01
0.713893,-0.03,0.11,-0.01
0.714277,-0.04,0.12,-0.01
0.714578,-0.05,0.13,-0.01
0.714876,-0.07,0.14,-0.02
0.715189,-0.08,0.15,-0.02
0.717065,-0.09,0.16,-0.03
0.719609,-0.10,0.16,-0.03
0.721411,-0.11,0.16,-0.03
0.723956,-0.12,0.16,-0.03
0.725999,-0.12,0.16,-0.03
0.728532,-0.13,0.16,-0.04
0.731498,-0.14,0.16,-0.03
0.733178,-0.14,0.16,-0.03
0.736062,-0.14,0.16,-0.03
0.738749,-0.14,0.17,-0.03
0.741169,-0.14,0.17,-0.03
0.745502,-0.14,0.18,-0.03
0.746707,-0.13,0.18,-0.04
0.748650,-0.12,0.19,-0.04
0.751204,-0.11,0.20,-0.04
0.753103,-0.09,0.21,-0.04
0.755833,-0.08,0.22,-0.04
0.759293,-0.07,0.23,-0.05
0.762048,-0.06,0.25,-0.05
0.763202,-0.04,0.26,-0.05
0.765345,-0.03,0.27,-0.05
0.768494,-0.02,0.28,-0.05
0.770563,-0.01,0.29,-0.05
0.773083,0.00,0.29,-0.05
0.782938,0.01,0.29,-0.06
0.784101,0.02,0.29,-0.06
0.789011,0.03,0.29,-0.06
0.789513,0.03,0.30,-0.07
0.789910,0.04,0.29,-0.08
0.790291,0.04,0.28,-0.08
0.790684,0.05,0.27,-0.09
0.792664,0.05,0.26,-0.09
0.808910,0.06,0.25,-0.10
0.809905,0.06,0.24,-0.10
0.810191,0.05,0.23,-0.10
0.810444,0.05,0.21,-0.10
0.810696,0.05,0.20,-0.10
0.810939,0.04,0.17,-0.10
0.811204,0.03,0.15,-0.10
0.813060,0.02,0.13,-0.10
0.815457,0.01,0.11,-0.11
0.817195,0.00,0.10,-0.11
0.819572,-0.01,0.08,-0.11
0.822012,-0.02,0.07,-0.12
0.825592,-0.03,0.06,-0.12
0.828587,-0.04,0.05,-0.12
0.830018,-0.06,0.05,-0.12
0.832451,-0.07,0.04,-0.12
0.834221,-0.08,0.03,-0.11
0.837034,-0.09,0.02,-0.11
0.840048,-0.10,0.01,-0.10
0.842836,-0.11,0.01,-0.10
0.845750,-0.11,-0.00,-0.09
0.847122,-0.12,-0.01,-0.09
0.849242,-0.12,-0.01,-0.09
0.852378,-0.12,-0.00,-0.08
0.855191,-0.12,0.00,-0.09
0.856991,-0.11,0.02,-0.08
0.860609,-0.11,0.03,-0.08
0.862073,-0.10,0.04,-0.08
0.865232,-0.09,0.06,-0.08
0.866024,-0.08,0.07,-0.08
0.869025,-0.06,0.07,-0.08
0.871496,-0.05,0.08,-0.08
0.873913,-0.03,0.08,-0.08
0.883104,-0.01,0.08,-0.07
0.884451,-0.00,0.08,-0.07
0.885201,0.01,0.08,-0.07
0.885826,0.03,0.07,-0.07
0.886390,0.05,0.07,-0.06
0.889774,0.06,0.07,-0.06
0.905996,0.07,0.07,-0.06
0.907157,0.09,0.07,-0.05
0.907649,0.10,0.07,-0.05
0.908143,0.11,0.07,-0.04
0.908589,0.12,0.07,-0.04
0.908909,0.13,0.08,-0.03
0.909212,0.14,0.09,-0.03
0.909513,0.14,0.09,-0.02
0.911656,0.15,0.10,-0.00
0.914319,0.17,0.11,0.02
0.915946,0.17,0.11,0.04
0.918602,0.19,0.10,0.07
0.921409,0.20,0.09,0.08
0.923921,0.21,0.07,0.09
0.928606,0.23,0.06,0.09
0.929918,0.24,0.04,0.09
0.930500,0.24,0.03,0.08
0.933115,0.25,0.01,0.07
0.936253,0.25,-0.01,0.06
0.939391,0.25,-0.03,0.04
0.942189,0.25,-0.05,0.02
0.944710,0.24,-0.06,0.01
0.945320,0.24,-0.07,-0.00
0.948360,0.22,-0.07,-0.01
0.950235,0.21,-0.07,-0.02
0.953100,0.19,-0.07,-0.02
0.955259,0.17,-0.07,-0.03
0.958624,0.15,-0.07,-0.03
0.960267,0.13,-0.06,-0.03
0.962772,0.11,-0.06,-0.03
0.964771,0.08,-0.05,-0.02
0.967625,0.06,-0.05,-0.02
0.970378,0.04,-0.04,-0.02
0.972234,0.02,-0.04,-0.02
0.980051,-0.01,-0.03,-0.01
0.981458,-0.03,-0.03,-0.01
0.982011,-0.04,-0.03,-0.01
0.982437,-0.06,-0.03,-0.01
0.984631,-0.08,-0.04,-0.01
0.988568,-0.09,-0.05,-0.01
0.992799,-0.10,-0.06,-0.01
0.993553,-0.11,-0.07,-0.01
1.006709,-0.11,-0.07,-0.01
1.007708,-0.11,-0.08,-0.01
1.008115,-0.11,-0.09,-0.00
1.008620,-0.11,-0.10,-0.00
1.008982,-0.11,-0.11,0.00
1.009294,-0.11,-0.12,0.01
1.009607,-0.10,-0.13,0.01
1.012914,-0.09,-0.13,0.02
1.014658,-0.08,-0.14,0.02
1.017971,-0.07,-0.14,0.03
1.020463,-0.06,-0.14,0.03
1.022346,-0.04,-0.15,0.04
1.024667,-0.03,-0.15,0.04
1.026980,-0.02,-0.16,0.05
1.028762,-0.00,-0.16,0.05
1.032074,0.01,-0.16,0.05
1.034950,0.03,-0.16,0.05
1.036702,0.04,-0.16,0.05
1.038633,0.05,-0.16,0.05
1.042707,0.06,-0.15,0.04
1.045457,0.07,-0.14,0.04
1.048060,0.08,-0.13,0.03
1.050057,0.09,-0.12,0.03
1.052766,0.09,-0.11,0.03
1.062461,0.09,-0.10,0.03
1.063581,0.10,-0.09,0.03
1.063920,0.10,-0.08,0.03
1.064236,0.10,-0.07,0.02
1.064627,0.09,-0.07,0.02
1.068767,0.09,-0.07,0.02
1.069391,0.08,-0.08,0.03
1.072790,0.07,-0.08,0.03
1.087243,0.06,-0.09,0.03
1.088394,0.05,-0.09,0.03
1.088862,0.04,-0.10,0.03
1.089241,0.03,-0.11,0.04
1.089546,0.01,-0.12,0.04
1.089820,-0.00,-0.12,0.04
1.090102,-0.02,-0.13,0.04
1.090358,-0.03,-0.13,0.04
1.092499,-0.05,-0.13,0.04
1.096151,-0.06,-0.13,0.04
1.098454,-0.07,-0.12,0.04
1.101098,-0.08,-0.12,0.04
1.103748,-0.09,-0.11,0.03
1.108379,-0.09,-0.10,0.03
1.109566,-0.10,-0.09,0.03
1.111115,-0.10,-0.08,0.03
1.112617,-0.10,-0.08,0.03
1.115560,-0.10,-0.07,0.02
1.117620,-0.10,-0.07,0.02
1.119891,-0.10,-0.06,0.02
1.122677,-0.09,-0.06,0.02
1.125715,-0.09,-0.06,0.02
1.127941,-0.08,-0.07,0.02
1.129476,-0.07,-0.08,0.02
1.133098,-0.06,-0.09,0.03
1.135291,-0.05,-0.10,0.03
1.139524,-0.04,-0.11,0.03
1.141339,-0.04,-0.12,0.03
1.142591,-0.03,-0.13,0.03
1.145230,-0.02,-0.13,0.03
1.147009,-0.01,-0.14,0.03
1.150155,-0.00,-0.14,0.03
1.152325,0.01,-0.15,0.03
1.157839,0.02,-0.16,0.03
1.159364,0.03,-0.16,0.03
1.161139,0.04,-0.16,0.03
1.161711,0.05,-0.16,0.03
1.165380,0.06,-0.15,0.03
